key,4,6,12,13
#,Singular,Plural,Description,Name
offset,0,4,8,12
int32,str,str,str,str
0,,,,
1,椭圆眼镜,,基础色的面部配饰。,椭圆眼镜
2,银框椭圆眼镜,,银色的面部配饰。,银框椭圆眼镜
3,金框椭圆眼镜,,金色的面部配饰。,金框椭圆眼镜
4,黑框椭圆眼镜,,黑色的面部配饰。,黑框椭圆眼镜
5,白框椭圆眼镜,,白色的面部配饰。,白框椭圆眼镜
6,灰框椭圆眼镜,,灰色的面部配饰。,灰框椭圆眼镜
7,红框椭圆眼镜,,红色的面部配饰。,红框椭圆眼镜
8,蓝框椭圆眼镜,,蓝色的面部配饰。,蓝框椭圆眼镜
9,绿框椭圆眼镜,,绿色的面部配饰。,绿框椭圆眼镜
10,铜框椭圆眼镜,,铜色的面部配饰。,铜框椭圆眼镜
11,紫框椭圆眼镜,,紫色的面部配饰。,紫框椭圆眼镜
12,棕框椭圆眼镜,,棕色的面部配饰。,棕框椭圆眼镜
13,金边墨镜,,基础色的面部配饰。,金边墨镜
14,银框金边墨镜,,银色的面部配饰。,银框金边墨镜
15,金框金边墨镜,,金色的面部配饰。,金框金边墨镜
16,黑框金边墨镜,,黑色的面部配饰。,黑框金边墨镜
17,白框金边墨镜,,白色的面部配饰。,白框金边墨镜
18,灰框金边墨镜,,灰色的面部配饰。,灰框金边墨镜
19,红框金边墨镜,,红色的面部配饰。,红框金边墨镜
20,蓝框金边墨镜,,蓝色的面部配饰。,蓝框金边墨镜
21,绿框金边墨镜,,绿色的面部配饰。,绿框金边墨镜
22,铜框金边墨镜,,铜色的面部配饰。,铜框金边墨镜
23,紫框金边墨镜,,紫色的面部配饰。,紫框金边墨镜
24,棕框金边墨镜,,棕色的面部配饰。,棕框金边墨镜
25,经典眼镜,,基础色的面部配饰。,经典眼镜
26,银框经典眼镜,,银色的面部配饰。,银框经典眼镜
27,金框经典眼镜,,金色的面部配饰。,金框经典眼镜
28,黑框经典眼镜,,黑色的面部配饰。,黑框经典眼镜
29,白框经典眼镜,,白色的面部配饰。,白框经典眼镜
30,灰框经典眼镜,,灰色的面部配饰。,灰框经典眼镜
31,红框经典眼镜,,红色的面部配饰。,红框经典眼镜
32,蓝框经典眼镜,,蓝色的面部配饰。,蓝框经典眼镜
33,绿框经典眼镜,,绿色的面部配饰。,绿框经典眼镜
34,铜框经典眼镜,,铜色的面部配饰。,铜框经典眼镜
35,紫框经典眼镜,,紫色的面部配饰。,紫框经典眼镜
36,棕框经典眼镜,,棕色的面部配饰。,棕框经典眼镜
37,玫瑰色眼镜,,基础色的面部配饰。,玫瑰色眼镜
38,银框玫瑰色眼镜,,银色的面部配饰。,银框玫瑰色眼镜
39,金框玫瑰色眼镜,,金色的面部配饰。,金框玫瑰色眼镜
40,黑框玫瑰色眼镜,,黑色的面部配饰。,黑框玫瑰色眼镜
41,白框玫瑰色眼镜,,白色的面部配饰。,白框玫瑰色眼镜
42,灰框玫瑰色眼镜,,灰色的面部配饰。,灰框玫瑰色眼镜
43,红框玫瑰色眼镜,,红色的面部配饰。,红框玫瑰色眼镜
44,蓝框玫瑰色眼镜,,蓝色的面部配饰。,蓝框玫瑰色眼镜
45,绿框玫瑰色眼镜,,绿色的面部配饰。,绿框玫瑰色眼镜
46,铜框玫瑰色眼镜,,铜色的面部配饰。,铜框玫瑰色眼镜
47,紫框玫瑰色眼镜,,紫色的面部配饰。,紫框玫瑰色眼镜
48,棕框玫瑰色眼镜,,棕色的面部配饰。,棕框玫瑰色眼镜
49,基础款眼镜,,基础色的面部配饰。,基础款眼镜
50,银框基础款眼镜,,银色的面部配饰。,银框基础款眼镜
51,金框基础款眼镜,,金色的面部配饰。,金框基础款眼镜
52,黑框基础款眼镜,,黑色的面部配饰。,黑框基础款眼镜
53,白框基础款眼镜,,白色的面部配饰。,白框基础款眼镜
54,灰框基础款眼镜,,灰色的面部配饰。,灰框基础款眼镜
55,红框基础款眼镜,,红色的面部配饰。,红框基础款眼镜
56,蓝框基础款眼镜,,蓝色的面部配饰。,蓝框基础款眼镜
57,绿框基础款眼镜,,绿色的面部配饰。,绿框基础款眼镜
58,铜框基础款眼镜,,铜色的面部配饰。,铜框基础款眼镜
59,紫框基础款眼镜,,紫色的面部配饰。,紫框基础款眼镜
60,棕框基础款眼镜,,棕色的面部配饰。,棕框基础款眼镜
61,单眼镜,,基础色的面部配饰。,单眼镜
62,银框单眼镜,,银色的面部配饰。,银框单眼镜
63,金框单眼镜,,金色的面部配饰。,金框单眼镜
64,黑框单眼镜,,黑色的面部配饰。,黑框单眼镜
