key,0,1,2,3,4
#,Description,Description{Enhanced},Tooltip,SpecialAction{Name},SpecialAction{Description}
offset,0,4,8,12,16
int32,str,str,str,str,str
0,,,,,
1,召唤出宠物“爆弹仔”。<hex:02100103>人工孵化的爆弹怪幼体，基本上应该不会自行爆炸。,爆弹怪的幼体。爆弹怪是来自虚无界的气体生物，利用炼金术的技术可以对它们进行人工孵化。喜欢以木炭、青磷水、火属性水晶等各种燃料作为食物。基本上应该不会自行爆炸。,嘿嘿嘿　人家的小可爱<hex:02100103>爆弹怪<hex:02100103>　　　　　　　——巴戈,自爆,对范围内的敌人造成300攻击力的伤害。不过使用特殊技点数之后宠物会被强制回收。
2,召唤出宠物“自走人偶001号”。<hex:02100103>炼金术士行会与雕金匠行会联手制作的机械人偶。,乌尔达哈的雕金匠行会在炼金术士行会的协力下开发制造的魔法自走人偶，这是其正式贩卖型。001号是泛用的基本型号，以此为基础衍生出了各种各样的改良版本。,魔法人偶明明连味觉都<hex:02100103>没有啊！<hex:02100103>　　　　——赛伦蒂碧提,分解,可以拆除敌人设置的陷阱。
3,召唤出宠物“巧儿陆行鸟”。<hex:02100103>小巧可爱的陆行鸟雏鸟，找到鸟妈妈前就先养着吧。,小巧可爱的陆行鸟雏鸟。把冒险者当成妈妈，一直跟着冒险者。它还会模仿冒险者穿戴装备，将蛋壳戴在身上。,喂！看好你的陆行鸟！<hex:02100103>别让它到处跑！<hex:02100103>　　　　　——巴斯卡隆,巧儿舞,让范围内的敌人增加“动物”类型的弱点。<hex:02100103><hex:024804F201F803><hex:024904F201F903>持续时间：<hex:0249020103><hex:0248020103>15秒
4,召唤出宠物“凯特西娃娃”。<hex:02100103>长长的尾巴可以用来保持玩偶的身体平衡。,在中原之民的民间传说里，有只叫做凯特西的妖精猫，这个玩偶就是模仿这个造型而做的。雕金匠行会的会长赛伦蒂碧提为了安抚失去父母的灵灾孤儿，把玩偶改造成了自走人偶。,对你来说可能没什么，<hex:02100103>可对那些死去的人而言<hex:02100103>却是人生的全部。<hex:02100103>　　　　　——凯特西,玩具士兵,令范围内我方宠物的特殊技点数增加10。对拥有同效果特殊技的宠物无效。
5,召唤出宠物“贝希摩斯宝宝”。<hex:02100103>哼哼叫的小野兽，老天保佑它的妈妈别找上门来。,在乌尔达哈的路边上出售的奇特的幼兽，商人宣传说是传说中的魔兽贝希摩斯的幼崽。拥有紫色的身体和黑色的鬃毛，还有不怎么尖锐的角，但是却总想发出哼哼的叫声。不知它的父母到底是什么情况。,你真是太乱来了……<hex:02100103>要是被贝希摩斯察觉<hex:02100103>到了该怎么办啊……<hex:02100103>　　　——遇险的骑兵,野性利角,对范围内的敌人造成230攻击力的伤害。
6,召唤出宠物“碧海人偶003号”。<hex:02100103>按照黑涡团制式装饰的自走人偶。,利姆萨·罗敏萨黑涡团的军用魔法人偶。基本设计是用来在阅兵式等场合担当旗手一职。站姿挺拔地举着团旗的样子十分威风。但是因为个子太矮，总是被人忽略。,是雕金匠行会的……<hex:02100103>魔法人偶？<hex:02100103>　　　　　——罗伯特,黑涡战旗,令范围内敌人的防御力降低50%。<hex:02100103><hex:024804F201F803><hex:024904F201F903>持续时间：<hex:0249020103><hex:0248020103>15秒
7,召唤出宠物“密林人偶003号”。<hex:02100103>按照双蛇党制式装饰的自走人偶。,格里达尼亚双蛇党的军用魔法人偶。基本设计是用来在阅兵式等场合担当旗手一职。站姿挺拔地举着党旗的样子十分威风。但是因为个子太矮，总是被人忽略。,是雕金匠行会的……<hex:02100103>魔法人偶？<hex:02100103>　　　　　——罗伯特,双蛇战旗,令范围内我方宠物的特殊技点数增加10。对拥有同效果特殊技的宠物无效。
