key,3
#,Name
offset,0
int32,str
0,
1,重生之境
2,第七星历
3,苍穹之禁城
4,龙诗战争终章
5,龙诗战争尾声
6,红莲之狂潮
7,解放战争战后
8,暗影之逆焰
9,拂晓回归
10,末日序曲
11,晓月之终途
12,崭新的冒险
13,蛮神威胁
14,巴哈姆特
15,水晶塔
16,亚历山大
17,上古众神
18,玛哈之影
19,欧米茄时空狭缝
20,欧米茄时空狭缝外传
21,重返伊瓦利斯
22,四圣兽奇谭
23,伊甸
24,寄叶异闻：暗黑天启
25,神兵系列
26,万魔殿
27,艾欧泽亚神话
28,剧情任务
29,日常任务
30,剧情任务
31,日常任务
32,剧情任务
33,日常任务
34,剧情任务
35,日常任务
36,剧情任务
37,日常任务
38,剧情任务
39,日常任务
40,剧情任务
41,日常任务
42,剧情任务
43,日常任务
44,剧情任务
45,日常任务
46,剧情任务
47,日常任务
48,剧情任务
49,日常任务
50,剧情任务
51,日常任务
52,剧情任务
53,日常任务
54,剧情任务
55,日常任务
56,剧情任务
57,日常任务
58,剧情任务
59,日常任务
60,剧情任务
61,日常任务
62,各族盟友
63,各族盟友：苍穹之章
64,各族盟友：红莲之章
65,龙诗战争外传
66,拂晓回归外传
67,崭新的冒险外传
68,非著名调查员
69,非著名调查员：苍穹之章
70,非著名调查员：红莲之章
71,希尔迪布兰德归来
72,曼德维尔武器
73,黄道武器
74,元灵武器
75,禁地优雷卡
76,天佑女王
77,第七灵灾回忆录
78,邮差莫古力
79,圣恩达利姆神学院记
80,虚无界再生计划
81,塔塔露的大繁荣商店
82,多玛冒险者团
83,多玛飞地重建记
84,重建伊修加德：剧情任务
85,重建伊修加德：支线任务
86,莫雯卓越工具
87,死者宫殿
88,天之御柱
89,正统优雷卡
90,无人岛开拓记
91,多变迷宫
92,支线任务：拉诺西亚
93,支线任务：黑衣森林
94,支线任务：萨纳兰
95,支线任务：库尔札斯
96,支线任务：摩杜纳
97,支线任务：伊修加德
98,支线任务：阿巴拉提亚云海
99,支线任务：龙堡参天高地
100,支线任务：龙堡内陆低地
101,支线任务：翻云雾海
102,支线任务：田园郡
103,支线任务：魔大陆
104,支线任务：神拳痕
105,支线任务：基拉巴尼亚边区
106,支线任务：基拉巴尼亚山区
107,支线任务：基拉巴尼亚湖区
108,支线任务：黄金港
109,支线任务：红玉海
110,支线任务：延夏
111,支线任务：太阳神草原
112,支线任务：水晶都
113,支线任务：游末邦
114,支线任务：雷克兰德
115,支线任务：珂露西亚岛
116,支线任务：安穆·艾兰
117,支线任务：伊尔美格
118,支线任务：拉凯提卡大森林
119,支线任务：黑风海
120,支线任务：旧萨雷安
121,支线任务：拉札罕
122,支线任务：迷津
123,支线任务：萨维奈岛
124,支线任务：加雷马
125,支线任务：叹息海
126,支线任务：厄尔庇斯
127,支线任务：天外天垓
128,剑术师任务
129,格斗家任务
130,斧术师任务
131,枪术师任务
132,弓箭手任务
133,双剑师任务
134,幻术师任务
135,咒术师任务
136,秘术师任务
137,刻木匠任务
138,锻铁匠任务
139,铸甲匠任务
140,雕金匠任务
141,制革匠任务
142,裁衣匠任务
143,炼金术士任务
144,烹调师任务
145,采矿工任务
146,园艺工任务
147,捕鱼人任务
148,骑士任务
149,武僧任务
150,战士任务
151,龙骑士任务
152,吟游诗人任务
153,忍者任务
154,白魔法师任务
155,黑魔法师任务
156,召唤师任务
157,学者任务
158,暗黑骑士任务
159,机工士任务
160,占星术士任务
161,武士任务
162,赤魔法师任务
163,绝枪战士任务
164,舞者任务
165,贤者任务
166,钐镰客任务
167,青魔法师任务
168,金属工艺部任务
169,手工工艺部任务
170,食药工艺部任务
171,大地资源部任务
172,水生资源部任务
173,中庸工艺馆剧情任务
174,考古系任务
175,天文系任务
176,医学系任务
177,文化系任务
178,以太系任务
179,萨雷安魔法大学剧情任务
180,防护职能任务
181,治疗职能任务
182,物理进攻职能任务
183,魔法进攻职能任务
184,职能剧情任务
185,防护职能任务：晓月之章
186,治疗职能任务：晓月之章
187,近战职能任务：晓月之章
188,远程物理职能任务：晓月之章
189,远程魔法职能任务：晓月之章
190,职能剧情任务：晓月之章
191,黑涡团任务
192,双蛇党任务
193,恒辉队任务
194,季节活动
195,降神节
196,东节
197,恋人节
198,恋人节&女儿节
199,女儿节
200,彩蛋狩猎
201,金碟嘉年华
202,红莲节
203,新生庆典
204,守护天节
205,星芒节
206,其他季节活动
207,纪念任务
208,来访者任务
209,佣兵理符任务
210,刻木匠理符任务
211,锻铁匠理符任务
212,铸甲匠理符任务
213,雕金匠理符任务
214,制革匠理符任务
215,裁衣匠理符任务
216,炼金术士理符任务
217,烹调师理符任务
218,采矿工理符任务
219,园艺工理符任务
220,捕鱼人理符任务
221,园艺工理符任务
222,捕鱼人理符任务
223,
224,
225,
226,
227,
228,
229,
230,
231,
232,
233,
234,
235,
236,
237,
238,
239,
240,黑涡团理符任务
241,双蛇党理符任务
242,恒辉队理符任务
243,迷宫挑战
244,大型任务
245,讨伐歼灭战
246,深层迷宫
247,禁地优雷卡
248,天佑女王
249,特殊迷宫
250,行会令
251,主线剧情任务：第六星历
252,支线任务：第六星历
253,职业任务：第六星历
254,特职任务：第六星历
255,军队任务：第六星历
