key,7,8,9,10
#,Objective,,,
offset,0,4,8,12
Int32,String,String,String,String
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,这里是艾因哈特管制台，<hex:02100103>已确认飞空艇位置，欢迎来到云冠群岛！,我想委托各位冒险者调查云冠群岛的资源情况。<hex:02100103>请你们尽情采集，报告成果。,当然我们也准备了与你们劳动相当的报酬。<hex:02100103>那么，祝你们好运！
11,,这里是艾因哈特管制台……<hex:02100103>已确认完成资源调查任务第一阶段。,看来你们取得了相当令我们感兴趣的结果。<hex:02100103>那么，请继续调查活动。,
12,,这里是艾因哈特管制台……<hex:02100103>已确认完成资源调查任务第二阶段。,资源调查任务还差一点就完成了，请再加把劲。,
13,收集过属性火之水晶,这里是艾因哈特管制台，<hex:02100103>已确认飞空艇位置，欢迎来到云冠群岛！,我想委托各位冒险者收集过属性水晶。<hex:02100103>请前往指定地点，收集指定资源。,另外，在执行任务的过程中，<hex:02100103>也希望你们能够在目标地区附近进行探索，以提高“活动评价”。
14,收集过属性水之水晶,这里是艾因哈特管制台，<hex:02100103>已确认飞空艇位置，欢迎来到云冠群岛！,我想委托各位冒险者收集过属性水晶。<hex:02100103>请前往指定地点，收集指定资源。,另外，在执行任务的过程中，<hex:02100103>也希望你们能够在目标地区附近进行探索，以提高“活动评价”。
15,收集过属性土之水晶,这里是艾因哈特管制台，<hex:02100103>已确认飞空艇位置，欢迎来到云冠群岛！,我想委托各位冒险者收集过属性水晶。<hex:02100103>请前往指定地点，收集指定资源。,另外，在执行任务的过程中，<hex:02100103>也希望你们能够在目标地区附近进行探索，以提高“活动评价”。
16,收集过属性冰之水晶,这里是艾因哈特管制台，<hex:02100103>已确认飞空艇位置，欢迎来到云冠群岛！,我想委托各位冒险者收集过属性水晶。<hex:02100103>请前往指定地点，收集指定资源。,另外，在执行任务的过程中，<hex:02100103>也希望你们能够在目标地区附近进行探索，以提高“活动评价”。
17,收集过属性风之水晶,这里是艾因哈特管制台，<hex:02100103>已确认飞空艇位置，欢迎来到云冠群岛！,我想委托各位冒险者收集过属性水晶。<hex:02100103>请前往指定地点，收集指定资源。,另外，在执行任务的过程中，<hex:02100103>也希望你们能够在目标地区附近进行探索，以提高“活动评价”。
18,收集过属性雷之水晶,这里是艾因哈特管制台，<hex:02100103>已确认飞空艇位置，欢迎来到云冠群岛！,我想委托各位冒险者收集过属性水晶。<hex:02100103>请前往指定地点，收集指定资源。,另外，在执行任务的过程中，<hex:02100103>也希望你们能够在目标地区附近进行探索，以提高“活动评价”。
19,收集过属性火之水晶,这里是艾因哈特管制台……<hex:02100103>已确认完成探索任务第一阶段。,接下来请各位前往下一地点收集过属性水晶。,另外，在执行任务的过程中，<hex:02100103>也希望你们能够在目标地区附近进行探索，以提高“活动评价”。
20,收集过属性水之水晶,这里是艾因哈特管制台……<hex:02100103>已确认完成探索任务第一阶段。,接下来请各位前往下一地点收集过属性水晶。,另外，在执行任务的过程中，<hex:02100103>也希望你们能够在目标地区附近进行探索，以提高“活动评价”。
21,收集过属性土之水晶,这里是艾因哈特管制台……<hex:02100103>已确认完成探索任务第一阶段。,接下来请各位前往下一地点收集过属性水晶。,另外，在执行任务的过程中，<hex:02100103>也希望你们能够在目标地区附近进行探索，以提高“活动评价”。
22,收集过属性冰之水晶,这里是艾因哈特管制台……<hex:02100103>已确认完成探索任务第一阶段。,接下来请各位前往下一地点收集过属性水晶。,另外，在执行任务的过程中，<hex:02100103>也希望你们能够在目标地区附近进行探索，以提高“活动评价”。
23,收集过属性风之水晶,这里是艾因哈特管制台……<hex:02100103>已确认完成探索任务第一阶段。,接下来请各位前往下一地点收集过属性水晶。,另外，在执行任务的过程中，<hex:02100103>也希望你们能够在目标地区附近进行探索，以提高“活动评价”。
24,收集过属性雷之水晶,这里是艾因哈特管制台……<hex:02100103>已确认完成探索任务第一阶段。,接下来请各位前往下一地点收集过属性水晶。,另外，在执行任务的过程中，<hex:02100103>也希望你们能够在目标地区附近进行探索，以提高“活动评价”。
25,将收集品交给恩惠号的艾因哈特家的飞行员,这里是艾因哈特管制台……<hex:02100103>已确认完成探索任务第二阶段。,最后，请将收集到的物品交给恩惠号附近的艾因哈特家的飞行员。,感谢各位的帮助。<hex:02100103>报酬可以在恩惠号附近领取！
26,使用诱引香陷阱引来银壳蟹并将其打倒<hex:02100103>获取云海物种的器官标本,这里是艾因哈特管制台，<hex:02100103>已确认飞空艇位置，欢迎来到云冠群岛！,我想委托各位冒险者采集博物学研究要用的标本，<hex:02100103>请使用诱引香陷阱引来指定对象并迅速将其打倒。,另外，在执行任务的过程中，<hex:02100103>也希望你们能够在目标地区附近进行探索，以提高“活动评价”。
27,使用诱引香陷阱引来天蟾蜍并将其打倒<hex:02100103>获取云海物种的器官标本,这里是艾因哈特管制台，<hex:02100103>已确认飞空艇位置，欢迎来到云冠群岛！,我想委托各位冒险者采集博物学研究要用的标本，<hex:02100103>请使用诱引香陷阱引来指定对象并迅速将其打倒。,另外，在执行任务的过程中，<hex:02100103>也希望你们能够在目标地区附近进行探索，以提高“活动评价”。
28,使用诱引香陷阱引来珠蜂水母并将其打倒<hex:02100103>获取云海物种的器官标本,这里是艾因哈特管制台，<hex:02100103>已确认飞空艇位置，欢迎来到云冠群岛！,我想委托各位冒险者采集博物学研究要用的标本，<hex:02100103>请使用诱引香陷阱引来指定对象并迅速将其打倒。,另外，在执行任务的过程中，<hex:02100103>也希望你们能够在目标地区附近进行探索，以提高“活动评价”。
29,使用诱引香陷阱引来彩虹冠恐鸟并打倒<hex:02100103>获取云海物种的器官标本,这里是艾因哈特管制台，<hex:02100103>已确认飞空艇位置，欢迎来到云冠群岛！,我想委托各位冒险者采集博物学研究要用的标本，<hex:02100103>请使用诱引香陷阱引来指定对象并迅速将其打倒。,另外，在执行任务的过程中，<hex:02100103>也希望你们能够在目标地区附近进行探索，以提高“活动评价”。
30,使用诱引香陷阱引来鲁南缇希并将其打倒<hex:02100103>获取云海物种的器官标本,这里是艾因哈特管制台，<hex:02100103>已确认飞空艇位置，欢迎来到云冠群岛！,我想委托各位冒险者采集博物学研究要用的标本，<hex:02100103>请使用诱引香陷阱引来指定对象并迅速将其打倒。,另外，在执行任务的过程中，<hex:02100103>也希望你们能够在目标地区附近进行探索，以提高“活动评价”。
31,使用诱引香陷阱引来蚁鹰蜂并将其打倒<hex:02100103>获取云海物种的器官标本,这里是艾因哈特管制台，<hex:02100103>已确认飞空艇位置，欢迎来到云冠群岛！,我想委托各位冒险者采集博物学研究要用的标本，<hex:02100103>请使用诱引香陷阱引来指定对象并迅速将其打倒。,另外，在执行任务的过程中，<hex:02100103>也希望你们能够在目标地区附近进行探索，以提高“活动评价”。
