key,0
#,Description
offset,0
Int32,String
0,
20000,这种螺的特征是拥有像旋转楼梯一样的壳。它的壳非常脆弱，所以那些形状完好的旋螺就成了收藏家们的心头好。
20001,虽然雌性的鱼身是黑色的，不过随着成长会变成雄性，并且颜色也会变得鲜艳。为了保护自己会释放毒性粘液。
20002,在大海中悠然自得游来游去的巨型鳐。甲人族当作骑兽的斑鳐就是由这种飞鳐驯化而来的。
20003,从近东拉札罕而来的使者向远东之国的幕府献上了这种鱼。在放养之后，不知何时就定居在了这里。
20004,和刺足龙虾共存，会捕食被引诱过来的章鱼。对于鳝鱼来说，刺足龙虾只不过是吸引好吃的过来的诱饵而已。
20005,在多玛的传说中，据说有一只悠闲自得的跳虾虎会思考和询问“生的意义”这种深奥的问题。
20006,这种鱼靠着坚硬的鱼鳞从捕食者的口中逃脱，不过自己会胡乱捕食比自己小的鱼或甲壳类生物。在多玛，人们把它当做顽强的象征。
20007,从鱼钩上夺取食物的第一鱼。因此捕鱼人们打心底里讨厌这种鱼。
20008,虽然和多玛鳗比起来体型较大，但是味道就逊色多了。因此价格也很便宜，这点倒是不错。
20009,十分罕见的生活在淡水中的寄居蟹。它会利用寄居的壳保护自己，随着成长还会寻找新的壳住进去。
20010,自古以来一直保持着原始姿态的蟹。个头大一点的个体其巨钳伸展能有两个成年人族男性那么大。
20011,外凸的额头和长长的鼻子十分显眼，因此被称作海中的天狗。在萨维奈，曾流传过一阵这种鱼可以制作长生不老灵药的谣言，导致被滥捕。
20012,拥有巨大背鳍和尾鳍的珍稀鱼类。平时栖息在深海，因此很少能看到这种鱼。其鱼鳍的用途和生活习性尚有很多未解之谜。
20013,这种鱼在幼年时期是黑白相间的花纹，随着成长形态会发生改变。因此之前一直以为它的幼体是另外一种鲨鱼，这一点直到近些年才真相大白。
20014,这种螺看上去就像瘆人的白骨一般，因此自古以来都被认为拥有驱魔的效果，甚至有的海贼众也会把这种螺戴在身上。
20015,这种鱼游起来十分笨重，虽然是鱼但看上去很不擅长游泳。因为它会抖动长有拟饵的突起来钓甲壳类生物或鱼，所以被称作渔鱼。
20016,附着在河底的水藻之间或岩石上的小型螺。是许多生物的食粮，位于食物链最底端。
20017,一种没有胡须的鲤鱼。在以水藻和果实为食的鱼类之中算是体型最大的了，最大能长得比一个鲁加族大汉还要大。
20018,脑袋异常大的鱼。其体内有许多发光器官，能够发出光芒，因此渔民们认为它们是灵魂的搬运工。
20019,这种鱼在游的时候拖着长长的丝状鱼鳍。虽然也不是不能吃，但不仅口感很腥，而且据说很容易导致食物中毒。
20020,因为这种鱼的脸长得很像远东之国一种名叫“狆”的犬种，所以才会被叫成这个名字。但实际上一点也不像。
20021,在远东之国被当做十分贵重的高级食材。但对于其他国家的人来说，它的样子如同虚无界的妖异一般令人毛骨悚然。
20022,这种鱼不仅能一口吞掉一些甲壳类生物和小鱼，甚至连龟和鲨鱼都能吞掉。甲人族在训斥做错事的孩子时，会吓唬孩子说“坏孩子会被鞍带石斑鱼吃掉”。
20023,背鳍上的刺有强烈的毒性，是一种危险的鱼类。但是它的肉却鲜美至极，因此不断有捕鱼人不顾生命危险挑战它。
20024,多玛蝲蛄的突发变异种。不禁让人联想到身着赤备的武将。但是目前仍然不知为何会变成红色。
20025,多玛四大鱼之一。人们已经掌握了其繁殖方法，经常能在平民们的饭桌上见到它的身影。
20026,在很久很久以前的延夏，这种贝壳曾被人们当做货币使用。当然，现在是一文不值的。
20027,乘着暖流来到红玉海的大型食肉鱼。因为它们喜欢聚集到漂浮物的周围，所以被误认为会吃死人。当然实际上并不会。
20028,冷酷的表情、如伤痕一般的花纹，再加上独自游动时的姿态，像极了浪人武士。不过它并不是在寻找自己的主公。
