key,0
#,
offset,0
int32,str
0,
1,
2,
3,观测到即将发生大规模磁暴天气的征兆。<hex:02100103>预报时间内使用设备时请务必注意安全。
4,观测到可能坠落在憧憬湾的小型陨石群！<hex:02100103>高风险时间已经确定，请室外的工作人员保持警惕。
5,大范围月面菌床的状态显示空中即将发生孢子雾。<hex:02100103>菌床可能出现变异，请勿随意靠近陌生菌类。
6,探测到即将出现巨大雷云，并成功确定到来时间。<hex:02100103>请室外的工作人员提高警惕。
7,受到周围气压降低的影响，寒冷气流即将到来！<hex:02100103>预测气温将急剧下降，请务必做好防寒对策。
8,观测到巨大的浓以太云靠近，推测即将出现玻璃雨天气。<hex:02100103>届时可见度会大幅下降，请保持警惕并做好相应对策。
9,紧急情况：磁暴
10,紧急情况：流星雨
11,紧急情况：孢子雾
12,紧急情况：雷雨
13,紧急情况：寒冷气流
14,紧急情况：玻璃雨
15,前往刻木匠、制革匠、炼金术士的任务地点
16,前往雕金匠、裁衣匠的任务地点
17,前往雕金匠、裁衣匠、园艺工的任务地点
18,前往锻铁匠、炼金术士、采矿工的任务地点
19,前往烹调师、采矿工、捕鱼人的任务地点
20,前往锻铁匠、制革匠、园艺工的任务地点
21,前往刻木匠、园艺工的任务地点
22,前往铸甲匠、烹调师、捕鱼人的任务地点
23,前往刻木匠、铸甲匠、制革匠的任务地点
24,前往烹调师、捕鱼人的任务地点
25,前往铸甲匠、雕金匠、采矿工的任务地点
26,前往锻铁匠、裁衣匠、炼金术士的任务地点
27,要前往刻木匠、制革匠、炼金术士的<hex:02100103>紧急探索任务地点吗？
28,要前往雕金匠、裁衣匠的<hex:02100103>紧急探索任务地点吗？
29,要前往雕金匠、裁衣匠、园艺工的<hex:02100103>紧急探索任务地点吗？
30,要前往锻铁匠、炼金术士、采矿工的<hex:02100103>紧急探索任务地点吗？
31,要前往烹调师、采矿工、捕鱼人的<hex:02100103>紧急探索任务地点吗？
32,要前往锻铁匠、制革匠、园艺工的<hex:02100103>紧急探索任务地点吗？
33,要前往刻木匠、园艺工的<hex:02100103>紧急探索任务地点吗？
34,要前往铸甲匠、烹调师、捕鱼人的<hex:02100103>紧急探索任务地点吗？
35,要前往刻木匠、铸甲匠、制革匠的<hex:02100103>紧急探索任务地点吗？
36,要前往烹调师、捕鱼人的<hex:02100103>紧急探索任务地点吗？
37,要前往铸甲匠、雕金匠、采矿工的<hex:02100103>紧急探索任务地点吗？
38,要前往锻铁匠、裁衣匠、炼金术士的<hex:02100103>紧急探索任务地点吗？
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,前往刻木匠、雕金匠、裁衣匠的任务地点
62,前往烹调师、采矿工、捕鱼人的任务地点
63,前往铸甲匠、雕金匠、炼金术士的任务地点
64,前往采矿工、捕鱼人的任务地点
65,前往锻铁匠、制革匠、采矿工的任务地点
66,前往铸甲匠、雕金匠的任务地点
67,前往锻铁匠、铸甲匠、制革匠的任务地点
68,前往炼金术士、烹调师、园艺工的任务地点
69,前往刻木匠、制革匠、裁衣匠的任务地点
70,前往烹调师、园艺工、捕鱼人的任务地点
71,前往锻铁匠、炼金术士的任务地点
72,前往刻木匠、裁衣匠、园艺工的任务地点
73,要前往刻木匠、雕金匠、裁衣匠的<hex:02100103>紧急探索任务地点吗？
74,要前往烹调师、采矿工、捕鱼人的<hex:02100103>紧急探索任务地点吗？
75,要前往铸甲匠、雕金匠、炼金术士的<hex:02100103>紧急探索任务地点吗？
76,要前往采矿工、捕鱼人的<hex:02100103>紧急探索任务地点吗？
77,要前往锻铁匠、制革匠、采矿工的<hex:02100103>紧急探索任务地点吗？
78,要前往铸甲匠、雕金匠的<hex:02100103>紧急探索任务地点吗？
79,要前往锻铁匠、铸甲匠、制革匠的<hex:02100103>紧急探索任务地点吗？
80,要前往炼金术士、烹调师、园艺工的<hex:02100103>紧急探索任务地点吗？
81,要前往刻木匠、制革匠、裁衣匠的<hex:02100103>紧急探索任务地点吗？
82,要前往烹调师、园艺工、捕鱼人的<hex:02100103>紧急探索任务地点吗？
83,要前往锻铁匠、炼金术士的<hex:02100103>紧急探索任务地点吗？
84,要前往刻木匠、裁衣匠、园艺工的<hex:02100103>紧急探索任务地点吗？
