key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
#,HyurMidlander[Male],HyurMidlander[Female],HyurMidlander[LastName],HyurHighlander[Male],HyurHighlander[Female],HyurHighlander[LastName],Elezen[Male],Elezen[Female],ElezenWildwood[LastName],ElezenDuskwight[LastName],MiqoteSun[Male],MiqoteSun[Female],MiqoteSun[MaleLastName],MiqoteSun[FemaleLastName],MiqoteMoon[Male],MiqoteMoon[Female],MiqoteMoon[Lastname],LalafellPlainsfolk[FirstNameStart],LalafellPlainsfolk[LastNameStart],LalafellPlainsfolk[EndOfNames],LalafellDunesfolk[Male],LalafellDunesfolk[MaleLastName],LalafellDunesfolk[Female],LalafellDunesfolk[FemaleLastName],RoegadynSeaWolf[Male],RoegadynSeaWolf[MaleLastName],RoegadynSeaWolf[Female],RoegadynSeaWolf[FemaleLastName],RoegadynHellsguard[FirstName],RoegadynHellsguard[MaleLastName],RoegadynHellsguard[FemaleLastName],AuRaRaen[Male],AuRaRaen[Female],AuRaRaen[LastName],AuRaXaela[Male],AuRaXaela[Female],AuRaXaela[LastName],HrothgarHellions[FirstName],HrothgarHellions[LastName],HrothgarLost[FirstName],HrothgarLost[LastName],,,,,,,Viera[FirstName],VieraRava[LastName],VieraVeena[LastName]
offset,0,4,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68,72,76,80,84,88,92,96,100,104,108,112,116,120,124,128,132,136,140,144,148,152,156,160,164,168,172,176,180,184,188,192,196
Int32,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String
0,"安赛尔梅特","赫敏","Abbey","维拉海尔姆","阿达拉","Alvey","艾贝坦","阿尔布瓦兹","Alamenain","Alambertel","阿·提卡","阿·琳波","Tia","Taqa","内乌·阿","内乌","Jawantal","阿","An","阿卡","比比","亚恩","芭","芭","艾利尔维恩","Lonwoerdsyn","狄尔佛希斯","Lonwoerdwyn","丹兴","Coeurl","Herring","赤城","葵","Kaneuchi","阿巴哈","巴古儿赤","Adarkim","伊维察","Amira","达沃尔","Zlatasch","济娃","Amira","Zlatasch","比尔嘉","Rehw-Nong","Sjadarwesfv","克琳","Hyskaris","Roda"
1,"克莱雷博尔德","艾莉森","Abel","维拉马尔","阿拉尔博塔","Archer","阿尔德里克","阿芒迪娜","Arscelin","Alboichamps","黎·提卡","碧·妮姆莉","Tia","Dhen","密亚·托","密亚","Molkot","阿比","Aro","巴斯","布布","贝塔","比","恰","埃利福鲁斯克","Wastwebbsyn","埃尔纳希斯","Wastwebbwyn","万德灵","Buffalo","Salmon","一亩","蓟","Akiudo","阿嘎斯勒台","巴尔呼金","Angura","马蒂亚","Azora","蒂霍米尔","Liubasch","维斯娜","Azora","Brankasch","伊嘉","Djt-Nong","Jgnewesfv","克廷","Eryut","Lesrekta"
2,"罗德维卡斯","盖娃","Ackerman","维雷尔姆","阿达琳德","Ashdale","亚历克苏瓦","阿梅莉娜","Asturmaux","Archevauliere","雅·利加","卡·兰麦雅","Tia","Rhiki","马夏·托","马夏","Mhakaracca","阿帕","Ato","奇奥","恰恰","多亚","布","妲","菲利尔森","Wistweinsyn","弗鲁尔希斯","Wistweinwyn","斯派拉灵","Chocobo","Trout","右岸","紫阳","Oshidari","阿格沙台","巴尔库金","Arulaq","奥索里奥","Avesna","利里姆","Brankasch","佐丽娅","Avesna","Tirasch","尤塞尔","Rehw-Marouc","Monnawesfv","阿莉丝","Camoa","Arda"
3,"塔兰","吉尔达","Addock","瓦因博德","阿德蕾娜","Ashe","安托瓦诺","阿芒妮","Aubaints","Auberlaint","茶·利加","德·旺嘉莉","Tia","Rhof","茹布·阿","茹布","Epocan","巴","Bu","基恩","切切","多加","恰","芙","菲厄穆尔","Wuntwilfsyn","弗雷希斯","Wuntwilfwyn","波若温","Aurochs","Whale","右京","花鸟","Gakuto","阿古扎木","巴乌古儿赤","Avagnar","弗拉季斯加","Azorya","克雷西米尔","Tirasch","罗季卡","Azorya","Ratyasch","凯尔塔","Djt-Marouc","Huorlwesfv","维伊丝","Muscadet","Ymir"
4,"奥尔德斯","茉特","Arkwright","维斯卡德","艾贝","Ayers","阿里斯蒙","阿米安娜","Aubierault","Aucheforne","伊·拉特","艾·妮布妮帕","Tia","Rahz","拉卡·阿","拉卡","Nelhah","茶","Buli","古达","可可","菲诺","丘","伊","菲利尔斯奇夫","Untawhasyn","菲利尔希斯","Untawhawyn","洛灵","Bull","Dolphin","雨月","菖蒲","Ushikai","雅布合","孛鲁德","Bairon","内纳德","Astana","多布","Ratyasch","柳波芙","Astana","Slanasch","罗伊法","Rehw-Bidit","Ornedwesfv","露伊","Atoel","Bosco"
5,"亚伯拉罕","塞西莉亚","Aubrey","维森坎德","艾里娜","Bailey","阿耳曼泰尔","阿斯特蕾勒","Aubrenard","Bamponcet","碧·拉特","芙·玛里波","Tia","Hena","纳吉·利","纳吉","Amariyo","杜","Buoy","霍伊","达达","伊萨","达","嘉","海尔布汉斯","Ubyltusyn","吉姆希斯","Ubyltuwyn","莱京","Buck","Clam","牛伏","淡雪","Kataribe","林丹","孛尔只斤","Bayaqud","兹拉坦","Arodica","德西米尔","Slanasch","米尔卡","Arodica","Enyasch","尼尔利","Djt-Bidit","Qufiswesfv","夏拉","Bysnoe","Gucuma"
6,"曼赛尔","阿米丝","Bagley","沃尔坎","艾诺尔","Baines","阿蒂里乌","阿特鲁娜","Aurifort","Bardelaurain","奥·恰达","古·柯恩娜拉","Tia","Tyata","奇特·阿","奇特","Gamduhla","艾","Dala","伊珀","迪迪","焦尼","德","柯","荷尔斯克盖斯","Sykursyn","哈尔德希斯","Sykurwyn","瑶宁","Antelope","Wave","雨读","杏","Bakuro","鲁夫山","孛拉格琴","Bolir","托普利察","Amilan","斯拉萨克","Enyasch","兰尼娅","Amilan","Natasch","缇亚","Rehw-Dvre","Foixewesfv","蕾娜","Dei-Ijla","Kisne"
7,"维尔纳","艾弗丽尔","Ballard","拉克乌尔夫","阿海里莎","Barrett","阿图瓦雷尔","奥蕾勒","Beltardois","Barnabontant","佩·恰达","赫·亚拉巴莉","Tia","Bamu","奇斯·阿","奇斯","Chalahko","菲","Du","吉卡","法法","莱伊","蒂","琪","凯坦伯恩","Swarsweigsyn","伊西尔希斯","Swarsweigwyn","拉芬","Wolf","Ocean","云山","十六夜","Urabe","阿达契台","孛洛格琴","Borlaaq","日丹","Amirka","马泰","Natasch","列德娜","Amirka","Svenach","沃蒂斯","Djt-Dvre","Ubmuawesfv","莱尔","Fyth","Tehp"
8,"波韦尔","艾德希达","Barker","乌尔特加尔","阿尔布蕾达","Battle","奥古斯蒂涅尔","布莱西","Bertouaint","Beaudefoins","维·阿帕","伊·基恩姬","Tia","Aba","希珀·利","希珀","Jakkya","弗","E","吉恩","弗弗","兰恩","法","库","梅尔吉恩","Swozstyrmsyn","康拖塔","Swozstyrmwyn","塔沃灵","Coyote","Abyss","云龙","交喙","Shikibu","阿术吉木","孛洛琴","Buduga","米斯蒂斯加","Asvana","多布里卡","Svenach","泽缇娜","Asvana","Ditasch","雅尔蒂","Rehw-Gilda","Copihwesfv","比永丝","Golmarr","Paharo"
9,"阿尔宾","莱维娜","Barlow","乌尼哈德","阿尔德露斯","Beake","奥梅里克","布兰蒂","Blodoint","Beaudonet","西·阿帕","嘉·塔尔姬","Tia","Raha","达卡·托","扎乌","Nbolo","伽","Gami","拉多","付付","劳欧","菲","菈","穆厄菲安","Solksthalsyn","克林拖塔","Solksthalwyn","萨尔京","Jackal","River","炎节","荆棘","Sakimuri","阿德契拉黑","博托惠","Dalamiq","穆蒂米尔","Avira","奥斯特罗米尔","Ditasch","斯托拉","Avira","Anatalyasch","阿斯蒂斯","Djt-Gilda","Rawbewesfv","阿丽姆","Iryut","Muruc"
10,"亚瑟","米拉贝尔","Bell","瓦伊雅特","阿蕾迪丝","Beck","巴蒂斯托","布莱妮","Branchais","Bontensont","艾·玛提","克·莉夏","Tia","Mhasi","达卡·利","达卡","Jinjahl","戈","Gu","尔比","伽伽","兰塔","芙","蕾","尼斯特比尔姆","Sunnskyfsyn","钦德拖塔","Sunnskyfwyn","巴恩丁","Griffin","Lake","海燕","伊吹","Hatasashi","阿纳尔巴","查仑","Iriq","博戈米尔","Aredna","伊万","Anatalyasch","玛丽娅","Aredna","Inivisch","比耶尔","Rehw-Setlas","Phiitewesfv","库利","Ljanta","Cahuac"
11,"奥古斯丁","艾蒂莎","Bellveil","瓦伊马","阿蕾索妮","Benbow","巴尔纳贝","布莉吉","Cahernaut","Braitognieux","乔·玛提","梅·拉艾波丽","Tia","Odh","茹布·利","奥克","Polaali","哈","Ha","尔戈","济济","迈伊","嘉","萝","佛里姆洛夫","Seiksatzsyn","拉戈拖塔","Seiksatzwyn","斯奇特灵","Dragon","Spring","影虎","善知","Tabito","阿马沙","怯怯伊真","Jhungid","拉蒂米尔","Azetina","弗谢米尔","Inivisch","托尔娜","Azetina","Jovasch","库利","Djt-Setlas","Gahjewesfv","伊塞拉","Miret-Moor","Isshu"
12,"贝亚德","阿尔蒂特","Berry","瓦伊蒙德","阿尔薇瑞德","Blackburn","贝尔农","索莉","Carrilaut","Brucemont","黎·欧尔赫","黎·科里维","Tia","Tykha","林·阿","琳","Maimhov","霍","Hamy","里恩","戈戈","迈雅","果","露","里特阿缇恩","Rhansathsyn","利那拖塔","Rhansathwyn","阮宁","Rat","Waterfall","阳炎","梅","Kaujin","阿马山赤","查木贝","Kharlu","拉季萨","Astolla","米斯加","Jovasch","捷莎","Astolla","Onasch","科瓦","","","尤尔希","Miret-Njer","Cebe"
13,"贝尔蒙特","奥德叶","Bishop","西姆","阿琉恩","Brood","布卢瓦西朗","塞莉","Charlemend","Cedrepierre","奇·欧尔赫","恩·赫恩格","Tia","Khuba","维拉·利","维拉","Lyehga","卡","Hon","里托","古古","穆克","哈","茉","斯凯恩利斯","Pfymseiksyn","诺尔拖塔","Pfymseikwyn","沃尔京","Mouse","Creek","喜鹊","艳丽","Gyoji","阿拉直布","杰杰伊真","Khatayin","察奇","Amarya","亚罗米尔","Onasch","尤丽娅","Amarya","Ulgasch","埃尔亚","","","维娜丝","Otoel","Yapih"
