key,15,17,23
#,Singular,Plural,Name
offset,0,4,8
Int32,String,String,String
0,椭圆眼镜,,椭圆眼镜
1,金边墨镜,,金边墨镜
2,经典眼镜,,经典眼镜
3,玫瑰色眼镜,,玫瑰色眼镜
4,基础款眼镜,,基础款眼镜
5,单眼镜,,单眼镜
6,现代鼻眼镜,,现代鼻眼镜
7,无框眼镜,,无框眼镜
8,粗框眼镜,,粗框眼镜
9,艺术眼镜,,艺术眼镜
10,鼻眼镜,,鼻眼镜
11,作业眼镜,,作业眼镜
12,黄铜护目镜,,黄铜护目镜
13,下框眼镜,,下框眼镜
14,椭圆读书眼镜,,椭圆读书眼镜
15,典雅无框眼镜,,典雅无框眼镜
16,猫眼眼镜,,猫眼眼镜
17,窄框眼镜,,窄框眼镜
18,彩色护目镜,,彩色护目镜
19,左侧眼罩,,左侧眼罩
20,右侧眼罩,,右侧眼罩
21,左侧金属眼罩,,左侧金属眼罩
22,右侧金属眼罩,,右侧金属眼罩
23,豹目眼镜,,豹目眼镜
24,阅读眼镜,,阅读眼镜
25,淡色眼镜,,淡色眼镜
26,时髦眼镜,,时髦眼镜
27,渐变色镜框眼镜,,渐变色镜框眼镜
28,厚框眼镜,,厚框眼镜
29,左侧秘银镶边眼罩,,左侧秘银镶边眼罩
30,右侧秘银镶边眼罩,,右侧秘银镶边眼罩
31,左侧皮饰眼罩,,左侧皮饰眼罩
32,右侧皮饰眼罩,,右侧皮饰眼罩
33,斯卡艾瓦头甲,,斯卡艾瓦头甲
34,,,
35,战术护目镜,,战术护目镜
36,遮光面罩,,遮光面罩
37,猫眼读书眼镜,,猫眼读书眼镜
38,教授眼镜,,教授眼镜
39,小夹鼻眼镜,,小夹鼻眼镜
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,ホログラス,,ホログラス
48,左侧折布眼罩,,左侧折布眼罩
49,右侧折布眼罩,,右侧折布眼罩
50,ホロゴーグル,,ホロゴーグル
51,,,
