key,1,2,3,4
#,Objective,Description1,Description2,Description3
offset,0,4,8,12
Int32,String,String,String,String
0,,,,
1,注意敌人的视野范围，将魔物全部消灭！,同一集团的魔物之间会互相产生联系。<hex:02100103>切记不要同时对不同的集团发生冲突！<hex:02100103>战斗时要小心敌人的视野范围，<hex:02100103>同时也要小心会发动击退技能的敌人！,被古菩猩猩发现之后会受到所有敌人的攻击！<hex:02100103>战斗的时候一定要小心不要闯入它的视野范围。<hex:02100103>先将周围的敌人逐个击破吧！,这是一场与魔物进行实战的训练。<hex:02100103>面对陆续出现的魔物一定不要慌张。<hex:02100103>与队友齐心协力才是取胜的关键！<hex:02100103><hex:02100103>行动到魔物的视野中时会遭到攻击，<hex:02100103>因此一定要时刻注意自己所处的位置，<hex:02100103>合理制定路线并逐个击破才是上策。
2,打倒会在战斗中召唤增员的波克曼！,波克曼体力消耗一定程度时会呼唤增援！<hex:02100103>防护职业要将所有敌人的仇恨都吸引住，同时与进攻职业一起战斗！<hex:02100103><hex:02100103>※防护职业：高体力高防御，承受敌人攻击的职业。,敌人数量太多！进入持久战会很危险！<hex:02100103>进攻职业一定要优先攻击援兵减少敌人数量！<hex:02100103><hex:02100103>※进攻职业：高攻击力，负责对敌人输出伤害的职业。,迅速讨伐徘徊在塔姆·塔拉墓园附近的死灵！<hex:02100103>不过要注意一点，死灵中有波克曼出没，<hex:02100103>这种巨大的铠甲非常棘手，一定要小心。<hex:02100103><hex:02100103>当波克曼认为自己陷入了危机之时，它会召唤出<hex:02100103>同伴来协助战斗，因此一定要避免进入持久战。<hex:02100103>它还擅长范围性的攻击，最好分散开进行战斗。
3,突破三道关门，打倒最深处的越壁蟾蜍！,将敌人全部消灭，确保安全后再将门打开。<hex:02100103>不过要注意，有些操作杆无法打开关门。,到达最深处之后盲头蟹会开始破坏岩壁。<hex:02100103>一定要抓紧时间速战速决！,我们即将进行一场模拟攻占敌方据点的实战演习。<hex:02100103>清理掉沿路魔物的同时冲破三道防御关门，<hex:02100103>最终消灭最深处的强力敌人——越壁蟾蜍。<hex:02100103><hex:02100103>要注意，最深处地区的岩壁内部还有着大量的盲头蟹。<hex:02100103>如果战斗拖得时间过长，它们会打破岩壁冲出来，<hex:02100103>这会令战况陷入更加不利的局面。一定要速战速决。
4,削弱金币龟的力量，用陷阱将其捕获！,盗贼会不断对金币龟进行恢复。<hex:02100103>将金币龟从盗贼身边带走！,打倒火元精获得它们的核心，并点燃香草。<hex:02100103>将金币龟引诱到催眠气体范围内将其捕获！,大富豪泰勒吉·阿代勒吉的宠物“金币龟”<hex:02100103>被盗贼集团给绑架走了。当然，目的是为了要钱。<hex:02100103>我们的委托人希望在保证宠物安全的情况下<hex:02100103>将其从盗贼手中拯救出来。有一种香草在点燃后能产生具有催眠效果的气体。<hex:02100103>在将金币龟的体力削弱到一定程度之后，<hex:02100103>利用“火元精核心”将香草点燃可以将其催眠。<hex:02100103>这样一来就能够成功活捉了。
5,避开逐渐扩大的猛毒地区进行战斗！,进入“毒花粉雾”区域内部会受到伤害！<hex:02100103>一定要注意别受到无谓的损伤！,敌人处于“毒花粉雾”内部时，要将其引诱出来！<hex:02100103>面向我方喷出“毒花粉雾”时要及时回避！,森林中出现了一种携带有剧毒的妖花，<hex:02100103>现在已经对大量的动植物造成了伤害。<hex:02100103><hex:02100103>据说妖花能够散播含有剧毒的花粉雾，<hex:02100103>一旦接近毒雾，便会陷入猛毒状态，<hex:02100103>体力也会逐渐减少，对任何生物都有效果。<hex:02100103>在与妖花作战时一定要注意周围的环境，<hex:02100103>最好将其引到安全地带再全力攻击。
6,注意敌人的治疗职业，将敌人小队各个击破！,稍微靠近一点也会吸引到敌人的注意。<hex:02100103>战斗时一定要谨慎，不要吸引太多的敌人！,敌人队伍中有负责进行恢复的幻术师。<hex:02100103>放置不管的话会陷入拉锯战，一定要优先打倒！,“寄生蜂团”在托托·拉克千狱附近集结起来了，<hex:02100103>这伙不法之徒想要建设一个新的据点。<hex:02100103><hex:02100103>直接攻击敌人的首领恐怕会招来其他人增援，<hex:02100103>所以最好先将分散在四周的敌人解决掉。<hex:02100103>尤其要小心敌人的幻术师，有治疗魔法在会很棘手。<hex:02100103>战斗中也要谨慎提防敌人有没有增援。
7,注意异常状态，并打倒迫近的敌人！,异常状态可以用特定的道具或魔法“康复”<hex:02100103>来解除。一定要随时注意队友的身体状态！,将队伍一分为二，一组去对抗梦幻之布拉奇希奥，<hex:02100103>另一组去对抗增援的敌人，双方分头行动吧！,敌对的妖精族势力出现在了南部林区，<hex:02100103>并且对周围的魔物施加了魔法进行控制。<hex:02100103>迅速前往现场打倒头领梦幻之布拉奇希奥！<hex:02100103><hex:02100103>被妖精族所控制的魔物都非常擅长令对手<hex:02100103>的身体陷入不良状态的攻击，同时还有能够<hex:02100103>发动大范围攻击的魔物，所以一定要避免混战
8,注意炸弹的同时破坏掉路障并消灭敌人！,投下来的炸弹会在几秒之后爆炸。<hex:02100103>一定要尽快脱离爆炸的冲击范围！,攻击设置在路上的路障可以造成伤害，<hex:02100103>路障的体力减到0时即破坏成功！,哥布林族不法集团占据了地母神忘迹，<hex:02100103>他们在藤路上搭起了路障，阻碍行人的来往。<hex:02100103>快去将那些路障全都破坏掉，并赶走敌人！<hex:02100103><hex:02100103>据情报说这一集团会使用一种定时的炸弹，<hex:02100103>在投出之后不会立刻爆炸，而是停留几秒才会起效。<hex:02100103>这段时间内尽快躲开就不会被炸弹伤到了。<hex:02100103>反过来，或许还可以利用那些炸弹破坏掉路障。
9,注意两种泡泡的同时打倒剧毒魔花谭琳！,蓝色的“腐坏泡泡”会不断产生出魔物。<hex:02100103>在魔物出现之前一定尽快将泡泡破坏掉！,紫色的“酸性泡泡”在受到攻击后<hex:02100103>会喷洒出带有攻击性的强酸！,体型巨大的剧毒魔花谭琳出现在愚者瀑布附近，<hex:02100103>导致那片地区的水质都被污染了。<hex:02100103>在污染范围扩散之前一定要采取些措施！<hex:02100103><hex:02100103>被污染的水源中会出现喷洒酸性液体的泡沫，<hex:02100103>还有一些泡泡能够产生出魔物。<hex:02100103>在战斗的时候一定要小心周围的情况！
10,扑灭苍蓝的火焰，打倒妖异布索！,调查并扑灭苍蓝的火焰能够解除布索的强化状态。<hex:02100103>另外，打倒虚无猎犬后会点亮新的火焰。,每次扑灭苍蓝火焰时布索都会发动强力攻击，<hex:02100103>一定要注意控制扑灭火焰的频率！,盲铁坑道中出现了强大的妖异“布索”。<hex:02100103>请迅速前往现场进行讨伐！<hex:02100103><hex:02100103>布索能够通过将自己的眷属作为祭品，<hex:02100103>点燃虚无界的苍蓝火焰，从而加强自己的能力。<hex:02100103>打断这种邪恶的仪式就有机会以对等的力量进行战斗。<hex:02100103>一边扑灭苍蓝的火焰一边与布索进行战斗吧！
