key,8,9,10
#,,,
offset,0,4,8
Int32,String,String,String
0,,,
1,原产于伊尔萨巴德的肉食野兽。曾经主要栖息于兰蒂斯地区，但后来在加雷马帝国的统治下，其个体数量急剧减少，如今甚至很难目击到它的出现了。在当地，它们因同伴间的深厚情谊而为人所熟知。,斩击属性物理伤害,对敌人造成6次斩击属性物理攻击伤害
2,分布在世界各地的小动物，门牙特别发达。虽然是一种会糟蹋果园和谷仓的害兽，但一部分不从事农业生产的人却认为它们是大地神诺菲卡的仆从，所以并没有到人人喊打的程度，还经常成为绘画和木雕的主题。,火属性魔法伤害,对己方施加加速
3,在大冰雪时代被驯化的羊。经过多次品种改良，最终出现了这种外观好像一团棉花的品种，确立了家畜的地位。若是发现了脖子上挂着铃铛的个体，应该是从牧场当中逃出来的。,打击属性物理伤害,对敌人施加睡眠+对己方施加睡眠耐性提升
4,能随意上岸下水的陆鱼，体内有气囊可以令自己浮空，同时还能够摆动鱼鳍让自己前进。为了捕食河川中的鱼而演化出了较长的嘴。领地意识很强，一旦认准了自己的地盘就绝对不会离开。,水属性魔法伤害,对己方施加魔法受伤减轻+麻痹耐性提升
5,栖息在森林中的猿类。通常是集体生活，并有一只猴王为集团领袖，是一种高度社会化的动物。头脑聪明，对于被它们盯上自家作物的农家来说，它们是很难缠的对手，但若能将其驯服，它们又可以成为很可靠的朋友。,打击属性物理伤害,对敌人造成无属性魔法伤害＋麻痹
6,原产自马兹拉雅岛的一种大型鸟类，已经失去了飞翔的能力。适于食用，尤其是胸肉部分非常美味，但由于能喷射毒性分泌物，饲养时需要先切除毒腺。在逐渐走向各地的过程中，还诞生了羽毛颜色各异的品种。,土属性魔法伤害+失明<hex:02100103>魔法伤害+失明,对己方施加土属性耐性提升+失明耐性提升
7,这种奇妙的魔物会四处爬行寻找能充当自己甲壳的矿物。由于不同的栖息地产出的矿物种类各有不同，因此外壳的颜色和硬度也自然出现了差异。另外，该魔物的触手有很强的毒性，千万不可食用。,雷属性魔法伤害,对己方施加物理受伤减轻+中毒耐性提升
8,巨大的节肢动物，有社会性的特征。凶蛛蝎为成熟的雄性个体，在族群里为护卫少数负责繁殖的雌性个体而活动。它们能够射出粘性的丝线，这种丝线不但能够用来捕捉猎物，也可以用于保存捉到的猎物。,突刺属性物理伤害＋中毒,对敌人造成无属性魔法伤害＋击退＋止步
9,栖息在拉诺西亚沿岸和威罗迪纳河、哈希瓦河水系的大型蟹类。身体部分被厚重的甲壳保护，肉质非常紧实，是广为人知的美味食材。由其甲壳代替锅制成的菜肴也十分有名。,水属性魔法伤害<hex:02100103>魔法伤害,对敌人造成水属性魔法伤害＋水属性耐性降低
10,在与西方新大陆展开贸易后传播而来的大型蜂类动物。个头很大，繁殖力也十分旺盛，所以很多人担心它会挤压本地生物的生存空间。发射的针中含有毒液，因此驱除它们时需要格外小心。,突刺属性物理伤害＋中毒,对敌人造成突刺属性物理伤害＋发动后强制回收
11,分布在艾欧泽亚全境的食肉怪鸟。主要以腐肉为食，所以在神话中经常是不洁的诱惑者的形象。它们常常会跟在军队的后面，以期待战死者的出现，所以士兵们大多不太喜欢它们。,风属性魔法伤害,对敌人造成风属性魔法伤害＋驱魔
12,在第七灵灾之后突然出现的植物状生物。其中似乎有一些具备智慧的个体，个体之间有某种相互沟通的手段，但具体情况不明。近年来不同种类的蔬菜之间结伴行动的情况时有发生。,打击属性物理伤害,对敌人造成无属性魔法伤害＋加重
13,会在夜雾当中突然出现的强大死灵。与同为死尸纲的鬼灵拥有很多共同点，诸如头部和身上都有着脸状的图案等。因为它们总是会出现在墓地和战场等地，因此也有人认为它们是人类恐惧心理的具象化体现。,雷属性魔法伤害,对己方施加吸收体力的效果
14,一种生有翅膀的蜥蜴，为了捕食虫类可以在树木之间飞行。跳蜥拥有很强的领地意识，一旦有其他动物入侵自己的地盘，它们就会勇敢地前去攻击，即使对方体型比自己大也毫不在意。在格里达尼亚，也常常用它们的名字来蔑视没有实力的人。,火属性魔法伤害,对敌人造成斩击属性物理伤害＋击退
