key,0,1,2
#,Vision,Objective,PreviousObjective
offset,0,4,8
int32,str,str,str
0,,,
1,开拓目标：建造小岛木屋,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>听取猫耳小员的说明<hex:021402EC03><hex:021302EC03>,
2,开拓目标：建造小岛木屋,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>再次听取猫耳小员的说明<hex:021402EC03><hex:021302EC03>,听取猫耳小员的说明
3,开拓目标：建造小岛木屋,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>在收获模式下收集开拓素材<hex:02100103>向猫耳小员报告<hex:021402EC03><hex:021302EC03>,再次听取猫耳小员的说明
4,开拓目标：建造小岛木屋,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>在开拓制作面板中制作开拓用石斧<hex:02100103>向猫耳小员报告<hex:021402EC03><hex:021302EC03>,在收获模式下收集开拓素材 向猫耳小员报告
5,开拓目标：建造小岛木屋,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>收集开拓素材建造小岛木屋<hex:021402EC03><hex:021302EC03>,在开拓制作面板中制作开拓用石斧 向猫耳小员报告
6,开拓目标：建造小岛木屋,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>向猫耳小员报告<hex:021402EC03><hex:021302EC03>,收集开拓素材建造小岛木屋
7,开拓目标：在耕地种植作物,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>听取猫耳小员的说明<hex:021402EC03><hex:021302EC03>,
8,开拓目标：在耕地种植作物,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>委托耕种小员整地<hex:021402EC03><hex:021302EC03>,听取猫耳小员的说明
9,开拓目标：在耕地种植作物,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>听取耕种小员的说明<hex:021402EC03><hex:021302EC03>,委托耕种小员整地
10,开拓目标：在耕地种植作物,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>使用播种模式在耕地种下选好的种子<hex:021402EC03><hex:021302EC03>,听取耕种小员的说明
11,开拓目标：在耕地种植作物,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>使用浇水模式为种下的种子浇水<hex:021402EC03><hex:021302EC03>,使用播种模式在耕地种下选好的种子
12,开拓目标：在耕地种植作物,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>向耕种小员报告<hex:021402EC03><hex:021302EC03>,使用浇水模式为种下的种子浇水
13,开拓目标：在牧场喂食动物,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>听取猫耳小员的说明<hex:021402EC03><hex:021302EC03>,
14,开拓目标：在牧场喂食动物,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>委托放牧小员整地<hex:021402EC03><hex:021302EC03>,听取猫耳小员的说明
15,开拓目标：在牧场喂食动物,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>听取放牧小员的说明<hex:021402EC03><hex:021302EC03>,委托放牧小员整地
16,开拓目标：在牧场喂食动物,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>使用捕兽模式捕捉动物<hex:021402EC03><hex:021302EC03>,听取放牧小员的说明
17,开拓目标：在牧场喂食动物,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>听取放牧小员的说明<hex:021402EC03><hex:021302EC03>,使用捕兽模式捕捉动物
18,开拓目标：在牧场喂食动物,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>使用喂食模式为动物喂食<hex:021402EC03><hex:021302EC03>,听取放牧小员的说明
19,开拓目标：在牧场喂食动物,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>向放牧小员报告<hex:021402EC03><hex:021302EC03>,使用喂食模式为动物喂食
20,开拓目标：建设开拓工房做好贸易的准备,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>听取猫耳小员的说明<hex:021402EC03><hex:021302EC03>,
21,开拓目标：建设开拓工房做好贸易的准备,<hex:021306FEFFFFFFFF03><hex:021406FEFF0A699203>委托开拓小员1号整地<hex:021402EC03><hex:021302EC03>,听取猫耳小员的说明
