key,39,40,41,42
#,,,,
offset,48,52,56,60
int32,str,str,str,str
2359296,,,,
2359297,怪物投篮,把握时机投篮得分！<hex:02100103><hex:02100103>奖励<hex:02100103>1分～2分：20金碟币<hex:02100103>3分～4分：30金碟币<hex:02100103>5分以上：50金碟币,,现在得分
2359298,莫古抓球机,用可爱的莫古力抓住球！<hex:02100103><hex:02100103>奖励<hex:02100103>大球：10金碟币<hex:02100103>小球：25金碟币,,
2359299,强袭水晶塔,用尽全力挥下锤子吧！<hex:02100103><hex:02100103>奖励<hex:02100103>打得好：10金碟币<hex:02100103>打得漂亮：15金碟币<hex:02100103>全力一击：25金碟币,,
2359300,重击伽美什,瞄准中心，赏他一拳！<hex:02100103><hex:02100103>奖励<hex:02100103>打得好：10金碟币<hex:02100103>打得漂亮：15金碟币<hex:02100103>全力一击：25金碟币,,
2359301,矿脉探索,把握时机挥下镐子！<hex:02100103><hex:02100103>根据力量槽停止的位置，<hex:02100103>来决定可供采掘的次数。<hex:02100103><hex:02100103>泰坦：4次<hex:02100103>魔界花：5次<hex:02100103>仙人刺：6次<hex:02100103><hex:02100103>可供采掘的次数越少，<hex:02100103>能获得的金碟币就越多。,挥下鹤嘴镐来采掘矿石！<hex:02100103><hex:02100103>通过采掘时的手感，<hex:02100103>来判断采掘的最佳位置。<hex:02100103>能量槽归零时即为采掘成功！,当前所获得金碟币
2359302,孤树无援,把握时机挥下手斧！<hex:02100103><hex:02100103>根据力量槽停止的位置，<hex:02100103>来决定采集的速度。<hex:02100103><hex:02100103>泰坦：非常快<hex:02100103>魔界花：快<hex:02100103>仙人刺：慢<hex:02100103><hex:02100103>速度越快，能获得的金碟币就越多。,挥下手斧来砍伐树木！<hex:02100103><hex:02100103>通过砍伐时的手感，<hex:02100103>来判断砍伐的最佳位置。<hex:02100103>能量槽归零时即为砍伐成功！,当前所获得金碟币
