key,0
#,
offset,0
int32,str
0,
1,■胜利条件■<hex:02100103>避开干扰物，抵达终点！<hex:02100103><hex:02100103>■阶段结束条件■<hex:02100103>一定数量的参加者到达终点
2,■胜利条件■<hex:02100103>避开干扰物，抵达终点！<hex:02100103><hex:02100103>■阶段结束条件■<hex:02100103>一定数量的参加者到达终点
3,■胜利条件■<hex:02100103>避免坠落<hex:02100103>逃离旋转的鼻息！<hex:02100103><hex:02100103>■阶段结束条件■<hex:02100103>定数量的参加者掉落
4,■胜利条件■<hex:02100103>将水晶运送到正确位置3次！<hex:02100103><hex:02100103>■阶段结束条件■<hex:02100103>一定数量的参加者运送完毕
5,■胜利条件■<hex:02100103>比任何人更快到达顶端的王冠！<hex:02100103><hex:02100103>■阶段结束条件■<hex:02100103>第一个玩家抵达终点
6,避开干扰物，抵达终点！
7,避开干扰物，抵达终点！
8,逃离旋转的鼻息，避免坠落！
9,将水晶运送到正确位置3次！
10,比任何人更快到达顶端的王冠！
11,抵达终点！
12,抵达终点！
13,不要掉下来！
14,运送水晶！
15,抵达王冠！
16,等待其他玩家
17,可以进入下一个关卡
18,已被淘汰
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
