key,0
#,
offset,0
int32,str
0,
1,已达成探索任务的目标！
2,已达成探索任务的目标！
3,宇宙探索相关任务专用道具。
4,现在<hex:02280EFF09>ClassJob<hex:E8020103>能进行的研究已经全部完成了！<hex:02100103>请耐心等待接下来的研究方针敲定吧！
5,<hex:02280EFF09>ClassJob<hex:E8020103>的研究数据分析工作有进展了！<hex:02100103>能劳驾来宇宙研究所一趟吗？
6,<hex:02280EFF09>ClassJob<hex:E8020103>的研究数据分析进度如下！
7,唔……这个东西是这样……那个的话……
8,宇宙研究使用的研究模块参考了魔法大学的设计。
9,宇宙研究取得进展，我们就能做出更好的工具，<hex:02100103>更好地为计划做贡献啦！
10,越高级的研究就需要越详细的数据，<hex:02100103>这方面只能靠你啦，加油！
11,推进不同领域的研究能提升全体的数据分析效率！
12,沙沙……喂……沙……<hex:02100103>联……系不……了，不对，不……沙沙沙……
13,法恩娜星的资源真有意思啊！<hex:02100103>研究起来很顺利！
14,法恩娜星的植物有着独特的结构啊～。<hex:02100103>用显微镜看的时候，闪闪发光的，非常漂亮啊～。
15,我测量了胶囊深渊这个大洞穴的结构啊。<hex:02100103>重叠的大球下方深不可测……绝对不能掉下去啊！
16,熔化道火口地带通红沸腾的玻璃，<hex:02100103>冷却凝固后，会变得五颜六色的啊！
17,“<hex:02280AFF05>Fate<hex:E8020103>”预定着工地点
