key,11,12,13,14,93,94,95,96,97,98,99,100,101,102,103,104
#,VFX{Fire},VFX{Hit},VFX{Miss},VFX{Additional},Objective[0],Hint[0],Objective[1],Hint[1],,,,,,,,ActionText
offset,244,248,252,256,192,196,200,204,208,212,216,220,224,228,232,236
int32,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str
1,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,
4,ev_snipe_clic0f,,,,观察长颈驼！,要想制作优质的标本，<hex:02100103>必须要仔细观察活着的长颈驼。<hex:02100103>从上到下仔细观察长颈驼！,,仔细观察巨大的长颈驼全身,,,,,,,,观察
5,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,用吹箭射中所有的箭靶！,为了彰显吹箭的可用性，<hex:02100103>用吹箭射中所有的箭靶！,,用吹箭射击指定的箭靶,,,,,,,,放箭
6,ev_snipe_clic0f,,,,查看倒在沙滩上的人！,好像有人倒在了海边，<hex:02100103>寻找那个人并确认其情况！,,查看倒下的人,,,,,,,,查看
7,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,麻痹弗帕！,用涂有麻痹药的吹箭麻痹弗帕！<hex:02100103>寻找弗帕，用吹箭射击！,,用吹箭射击弗帕,,,,,,,,放箭
8,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,让警戒中的帝国兵睡去！,用涂有催眠药的吹箭<hex:02100103>让警戒中的帝国兵睡去！<hex:02100103>寻找帝国兵，用吹箭射击！,,用吹箭射击帝国兵,,,,,,,,放箭
9,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,让警戒中的帝国兵睡去！,用涂有催眠药的吹箭<hex:02100103>让警戒中的帝国兵睡去！<hex:02100103>寻找帝国兵，用吹箭射击！,,用吹箭射击帝国兵,,,,,,,,放箭
10,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,让警戒中的帝国兵睡去！,帝国河畔堡前有警戒中的帝国兵。<hex:02100103>用吹箭射击，让其睡去！,,用吹箭射击帝国兵,,,,,,,,放箭
11,ev_snipe_clic0f,,,,进行监视！,寻找疑似是叛徒的人，<hex:02100103>监视其一举一动！,,进行监视,,,,,,,,监视
12,ev_snipe_clic0f,,,,进行监视！,寻找疑似是叛徒的人，<hex:02100103>监视其一举一动！,,进行监视,,,,,,,,监视
13,ev_snipe_clic0f,,,,进行监视！,寻找疑似是叛徒的人，<hex:02100103>监视其一举一动！,,进行监视,,,,,,,,监视
14,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,让羊睡去！,小羊羔逃离了羊群迷失了方向。<hex:02100103>为了捕获胆小的小羊羔，<hex:02100103>用吹箭射击，让其睡去！,,用吹箭射击迷路的羊羔,,,,,,,,放箭
15,ev_snipe_clic0f,,,,确认格格鲁玖看到了什么！,必须调查清楚格格鲁玖看到了什么。<hex:02100103>找到他看到的东西，进行确认！,失败条件：确认到错误的目标,确认格格鲁玖看到了什么,,,,,,,,确认
16,ev_snipe1cf,ev_snipe_hit0f,ev_snipe_mis0f,,用恋爱水泡射击魅力四射的斑鳐！,年轻的斑鳐想要吸引魅力四射的斑鳐，<hex:02100103>用恋爱水泡射击使其回头！,,用恋爱水泡射击魅力四射的斑鳐,,,,,,,,射出恋爱水泡
17,ev_snipe_clic0f,,,,观察虾蛄并寻找弱点！,为了传授与魔物战斗的方法，<hex:02100103>仔细观察虾蛄全身并寻找弱点！,,观察虾蛄的弱点,,,,,,,,观察
18,ev_snipe_clic0f,,,,观察弗巴德并寻找弱点！,为了传授与魔物战斗的方法，<hex:02100103>仔细观察弗巴德全身并寻找弱点！,,观察弗巴德的弱点,,,,,,,,观察
19,ev_snipe_clic0f,,,,寻找性情古怪的鲶鱼精！,寻找性情古怪的鲶鱼精进行观察！,,寻找性情古怪的鲶鱼精,,,,,,,,确认
20,ev_snipe_clic0f,,,,寻找性情古怪的鲶鱼精！,寻找性情古怪的鲶鱼精进行观察！,,寻找性情古怪的鲶鱼精,,,,,,,,确认
21,,,,,,,,,,,,,,,,
22,ev_snipe2cf,ev_snipe2_hit0f,ev_snipe2_hit0f,ev_snipe2_mis0f,驱除凶暴化的陀罗！,凶暴化的陀罗正在袭击野营地，<hex:02100103>在陀罗们到达矿石以前炮击所有的陀罗！,失败条件：凶暴化的陀罗到达矿石,炮击凶暴化的陀罗,,,,,,,,开炮
23,ev_snipe_clic0f,,,,寻找邦加莫南！,邦加莫南就在黎铎拉纳大灯塔的某处，<hex:02100103>找到他！,,找出邦加莫南,,,,,,,,确认
24,ev_snipe3cf,ev_snipe_hit0f,ev_snipe_hit0f,ev_snipe_hit0f,用箭射中靶子！,为了再现传统弓射，用祭礼用的弓射出箭，<hex:02100103>命中鱼信拿的靶子！,失败条件：射中鱼信,射中靶子,,,,,,,,放箭
25,ev_snipe3cf,ev_snipe_hit0f,ev_snipe_mis0f,,用箭射中靶子！,为了再现传统弓射，用祭礼用的弓射出箭，<hex:02100103>命中鲶鱼精拿的靶子！,,射中靶子,,,,,,,,放箭
26,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,用吹箭射中豚猪！,为了获得最适合制作武具的豚猪牙，<hex:02100103>寻找牙齿结实的豚猪，<hex:02100103>用吹箭射击使其麻痹！,,射中豚猪,,,,,,,,放箭
27,ev_snipe_clic0f,,,,确认商品！,勒昂琅的蠕动食材店中<hex:02100103>摆满了各类商品，<hex:02100103>确认所有商品！,,确认商品,,,,,,,,确认
28,ev_snipe_clic0f,,,,寻找石板！,给雅·修特拉的礼物<hex:02100103>似乎就藏在这个教会之中，<hex:02100103>找出古旧的石板！,,找出石板,,,,,,,,确认
29,ev_snipe_clic0f,,,,观察壁画！,雅·修特拉委托<hex:02100103>观察古旧的壁画，<hex:02100103>观察所有的壁画！,,观察壁画,,,,,,,,观察
30,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,
32,ev_snipe_clic0f,,,,寻找蓝发的猫秘族！,深蓝色短发的猫秘族似乎抢走了农作物。<hex:02100103>找出犯人！,,找出蓝发的猫秘族,,,,,,,,确认
33,ev_snipe_clic0f,,,,寻找神秘的人影！,来自神秘村庄的人物<hex:02100103>似乎正在窥探这边的情况，<hex:02100103>找出神秘的人影！,,找出神秘的人影,,,,,,,,确认
34,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,射击戴着不同头盔的矮人族！,现在进行图尔找茬大作战的练习，<hex:02100103>射击与图尔家族<hex:02100103>戴着不同头盔的矮人族！,,射击戴着不同头盔的矮人族,,,,,,,,用弹弓射击
35,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,射击戴着不同头盔的矮人族！,现在正式进行图尔找茬大作战，<hex:02100103>射击与图尔家族<hex:02100103>戴着不同头盔的矮人族！,失败条件：射击与图尔家族戴着相同头盔的矮人族,射击戴着不同头盔的矮人族,,,,,,,,用弹弓射击
36,ev_snipe_clic0f,,,,寻找建筑物的特征！,调查形成<hex:02100103>鳍人潮池的建筑物，<hex:02100103>寻找比较独特的地方！,,找出独特的外观,,,,,,,,确认
37,ev_snipe_clic0f,,,,确认仙子族的数量！,要陪仙子族玩<hex:02100103>使用望远镜的游戏了，<hex:02100103>寻找仙子族，确认其数量！,,确认仙子族的数量,,,,,,,,确认
38,ev_snipe0cf,ev_snipe_hit0f,ev_snipe_mis0f,,讨伐古拉姆！,发射解咒器，<hex:02100103>讨伐接近卫兵的<hex:02100103>古拉姆！,失败条件：古拉姆接近卫兵,讨伐古拉姆,,,,,,,,发射解咒器
39,ev_snipe_clic0f,,,,给采·努兹发送信号！,在不被塔罗斯发现的情况下<hex:02100103>给采·努兹发送信号！,失败条件：采·努兹被塔罗斯发现,给采·努兹发送信号,,,,,,,,发送信号
40,ev_snipe4cf,ev_snipe4_hit0f,ev_snipe4_mis0f,,赶走靠近的东西！,投掷护身仙子猪<hex:02100103>赶走靠近采花的仙子的东西！,失败条件：对方成功接近靠近采花的仙子,赶走靠近的东西,,,,,,,,投掷护身仙子猪
41,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,
