key,21,22,23,24,25
#,,,,,
offset,0,4,8,12,16
int32,str,str,str,str,str
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,探索任务：云冠群岛资源调查,自从漂流遗迹出现后，云冠群岛的属性之力突然受到影响，环境也发生了剧烈变化。所以我们希望冒险者能协助我们进行大规模资源调查。<hex:02100103>你们可以在群岛采掘、采伐、捕鱼，随意进行采集活动。当然，采集到的东西归你们自己所有，因为我们的目的只有群岛的资源情报。<hex:02100103><hex:02100103>※进行采集活动和参加危命任务可提升活动评价。,这里是艾因哈特管制台……<hex:02100103>经确认，所有资源调查均已完成。,感谢各位冒险者的大力协助，<hex:02100103>请到恩惠号这里来领取报酬。,今后你们可以随时利用以太洞前往另一侧进行自由探索。<hex:02100103>祝你们探索顺利！
6,,,,,
7,探索任务：收集过属性水晶,属性之力发生剧烈变化的云冠群岛很容易促使以太结晶。带有强大属性之力的水晶极有可能成为重要资源。<hex:02100103>所以我们希望冒险者能帮助我们收集过属性水晶，请将收集到的物资交给恩惠号附近的艾因哈特家的飞行员。<hex:02100103><hex:02100103>另外，在执行任务的过程中，也希望你们能够在目标地区附近进行探索，以提高“活动评价”。<hex:02100103><hex:02100103>※参加危命任务等可提升活动评价。,这里是艾因哈特管制台……<hex:02100103>经确认，所有探索任务均已完成。,感谢各位冒险者的大力协助。<hex:02100103>我们已经准备了相应的报酬。,今后你们可以随时利用以太洞前往另一侧进行自由探索。<hex:02100103>祝你们探索顺利！
8,探索任务：打倒危险魔兽,云冠群岛高密度的以太吸引了很多危险的生物，这些生物正是我们探索的最大障碍。<hex:02100103>我们希望身手高强的冒险者能帮助我们排除危险魔兽，请使用能吸引特定生物的诱引香陷阱，引来目标并将其打倒。<hex:02100103><hex:02100103>另外，在执行任务的过程中，也希望你们能够在目标地区附近进行探索，以提高“活动评价”。<hex:02100103><hex:02100103>※参加危命任务等可提升活动评价。,这里是艾因哈特管制台……<hex:02100103>经确认，所有探索任务均已完成。,感谢各位冒险者的大力协助。<hex:02100103>我们已经准备了相应的报酬。,今后你们可以随时利用以太洞前往另一侧进行自由探索。<hex:02100103>祝你们探索顺利！
9,探索任务：打倒危险魔兽,云冠群岛高密度的以太吸引了很多危险的生物，这些生物正是我们探索的最大障碍。<hex:02100103>我们希望身手高强的冒险者能帮助我们排除危险魔兽，请使用能吸引特定生物的诱引香陷阱，引来目标并将其打倒。<hex:02100103><hex:02100103>另外，在执行任务的过程中，也希望你们能够在目标地区附近进行探索，以提高“活动评价”。<hex:02100103><hex:02100103>※参加危命任务等可提升活动评价。,这里是艾因哈特管制台……<hex:02100103>虽然出现了预想不到的强敌，但已被确认排除。,感谢各位冒险者的大力协助。<hex:02100103>我们已经准备了相应的报酬。,今后你们可以随时利用以太洞前往另一侧进行自由探索。<hex:02100103>祝你们探索顺利！
10,探索任务：打倒危险魔兽,云冠群岛高密度的以太吸引了很多危险的生物，这些生物正是我们探索的最大障碍。<hex:02100103>我们希望身手高强的冒险者能帮助我们排除危险魔兽，请使用能吸引特定生物的诱引香陷阱，引来目标并将其打倒。<hex:02100103><hex:02100103>另外，在执行任务的过程中，也希望你们能够在目标地区附近进行探索，以提高“活动评价”。<hex:02100103><hex:02100103>※参加危命任务等可提升活动评价。,这里是艾因哈特管制台……<hex:02100103>经确认，所有探索任务均已完成。,感谢各位冒险者的大力协助。<hex:02100103>我们已经准备了相应的报酬。,今后你们可以随时利用以太洞前往另一侧进行自由探索。<hex:02100103>祝你们探索顺利！
11,探索任务：采集云海生物标本,云冠群岛是一座长期与外界隔离的浮岛，不仅有珍稀的古代生物在此栖息，还有受到属性之力影响的变异个体。<hex:02100103>我们希望冒险者帮忙采集这些珍稀生物的标本用作博物学研究。请使用能吸引特定生物的诱引香陷阱，引来目标并将其打倒，然后采集标本。<hex:02100103><hex:02100103>另外，在执行任务的过程中，也希望你们能够在目标地区附近进行探索，以提高“活动评价”。<hex:02100103><hex:02100103>※参加危命任务等可提升活动评价。,这里是艾因哈特管制台……<hex:02100103>经确认，所有探索任务均已完成。,感谢各位冒险者的大力协助。<hex:02100103>我们已经准备了相应的报酬。,今后你们可以随时利用以太洞前往另一侧进行自由探索。<hex:02100103>祝你们探索顺利！
12,探索任务：收集诱引香的素材,我们艾因哈特家在探索过程中发现了一种奇特的生物现象。在云冠群岛区域，有一部分生物可以通过散发香味来吸引其他种类的生物。<hex:02100103>为了提高狩猎的效率，我们准备利用这些生物来制作诱引香陷阱。希望冒险者能够前往指定的两处地点讨伐特定的生物，以收集我们所需要的素材。<hex:02100103><hex:02100103>另外，在执行任务的过程中，也希望你们能够在目标地区附近进行探索，以提高“活动评价”。<hex:02100103><hex:02100103>※参加危命任务等可提升活动评价。,这里是艾因哈特管制台……<hex:02100103>经确认，所有探索任务均已完成。,感谢各位冒险者的大力协助。<hex:02100103>我们已经准备了相应的报酬。,今后你们可以随时利用以太洞前往另一侧进行自由探索。<hex:02100103>祝你们探索顺利！
13,探索任务：采集古生物的蛋,为了进行博物学研究，希望冒险者能帮我们采集古生物的蛋。但那些蛋被藏得很严密，不容易找到。因此，我们决定利用一种喜欢吃蛋的老鼠魔物。<hex:02100103>你们可以先在周围狩猎以及探索，等想要偷蛋的老鼠出现后就立即赶往那里打倒它们，把蛋抢过来并运到回收地点。<hex:02100103><hex:02100103>另外，在执行任务的过程中，也希望你们能够在目标地区附近进行探索，以提高“活动评价”。<hex:02100103><hex:02100103>※参加危命任务等可提升活动评价。,已确认目标到达回收地点……<hex:02100103>只要运到那里就好，接下来我们会进行回收的。,感谢各位冒险者的大力协助。<hex:02100103>我们已经准备了相应的报酬。,今后你们可以随时利用以太洞前往另一侧进行自由探索。<hex:02100103>祝你们探索顺利！
14,探索任务：采集古生物的蛋,为了进行博物学研究，希望冒险者能帮我们采集古生物的蛋。但那些蛋被藏得很严密，不容易找到。因此，我们决定利用一种喜欢吃蛋的老鼠魔物。<hex:02100103>你们可以先在周围狩猎以及探索，等想要偷蛋的老鼠出现后就立即赶往那里打倒它们，把蛋抢过来并运到回收地点。<hex:02100103><hex:02100103>另外，在执行任务的过程中，也希望你们能够在目标地区附近进行探索，以提高“活动评价”。<hex:02100103><hex:02100103>※参加危命任务等可提升活动评价。,已确认目标到达回收地点……<hex:02100103>只要运到那里就好，接下来我们会进行回收的。,感谢各位冒险者的大力协助。<hex:02100103>我们已经准备了相应的报酬。,今后你们可以随时利用以太洞前往另一侧进行自由探索。<hex:02100103>祝你们探索顺利！
15,探索任务：试剂实验,我们艾因哈特家为了更好地进行云冠群岛探索，也在开发新型技术。其中一项成果就是这种试剂。<hex:02100103>理论上来说……这种弱化试剂能够降低特定生物的战斗力。所以希望各位冒险者能帮助我们实践证明一下它的效果。<hex:02100103><hex:02100103>另外，在执行任务的过程中，也希望你们能够在目标地区附近进行探索，以提高“活动评价”。<hex:02100103><hex:02100103>※参加危命任务等可提升活动评价。,这里是艾因哈特管制台……<hex:02100103>我们已经确认实验完成。,感谢各位冒险者的大力协助。<hex:02100103>我们已经准备了相应的报酬。,今后你们可以随时利用以太洞前往另一侧进行自由探索。<hex:02100103>祝你们探索顺利！
16,,,,,
17,探索任务：收集过属性水晶,属性之力发生剧烈变化的云冠群岛很容易促使以太结晶。带有强大属性之力的水晶极有可能成为重要资源。<hex:02100103>所以我们希望冒险者能帮助我们收集过属性水晶，请将收集到的物资交给恩惠号附近的艾因哈特家的飞行员。<hex:02100103><hex:02100103>另外，在执行任务的过程中，也希望你们能够在目标地区附近进行探索，以提高“活动评价”。<hex:02100103><hex:02100103>※参加危命任务等可提升活动评价。,这里是艾因哈特管制台……<hex:02100103>经确认，所有探索任务均已完成。,感谢各位冒险者的大力协助。<hex:02100103>我们已经准备了相应的报酬。,今后你们可以随时利用以太洞前往另一侧进行自由探索。<hex:02100103>祝你们探索顺利！
18,探索任务：打倒危险魔兽,云冠群岛高密度的以太吸引了很多危险的生物，这些生物正是我们探索的最大障碍。<hex:02100103>我们希望身手高强的冒险者能帮助我们排除危险魔兽，请使用能吸引特定生物的诱引香陷阱，引来目标并将其打倒。<hex:02100103><hex:02100103>另外，在执行任务的过程中，也希望你们能够在目标地区附近进行探索，以提高“活动评价”。<hex:02100103><hex:02100103>※参加危命任务等可提升活动评价。,这里是艾因哈特管制台……<hex:02100103>虽然出现了预想不到的强敌，但已被确认排除。,感谢各位冒险者的大力协助。<hex:02100103>我们已经准备了相应的报酬。,今后你们可以随时利用以太洞前往另一侧进行自由探索。<hex:02100103>祝你们探索顺利！
19,探索任务：打倒危险魔兽,云冠群岛高密度的以太吸引了很多危险的生物，这些生物正是我们探索的最大障碍。<hex:02100103>我们希望身手高强的冒险者能帮助我们排除危险魔兽，请使用能吸引特定生物的诱引香陷阱，引来目标并将其打倒。<hex:02100103><hex:02100103>另外，在执行任务的过程中，也希望你们能够在目标地区附近进行探索，以提高“活动评价”。<hex:02100103><hex:02100103>※参加危命任务等可提升活动评价。,这里是艾因哈特管制台……<hex:02100103>虽然出现了预想不到的强敌，但已被确认排除。,感谢各位冒险者的大力协助。<hex:02100103>我们已经准备了相应的报酬。,今后你们可以随时利用以太洞前往另一侧进行自由探索。<hex:02100103>祝你们探索顺利！
