key,0,1,2,3
#,,,,
offset,0,4,8,12
Int32,String,String,String,String
0,,,,
1,捕获到圆翅燕鱼之后，察觉到了鱼影的气息……,捕获到圆翅燕鱼之后，鱼影的气息更加强烈了……,捕获到圆翅燕鱼之后，鱼影的气息已经相当强烈了！,在某处出现了鱼影！！
2,捕获到鱼龙之后，察觉到了鱼影的气息……,捕获到鱼龙之后，鱼影的气息更加强烈了……,捕获到鱼龙之后，鱼影的气息已经相当强烈了！,在某处出现了鱼影！！
3,捕获到瞪亲刺鱼之后，察觉到了鱼影的气息……,捕获到瞪亲刺鱼之后，鱼影的气息更加强烈了……,捕获到瞪亲刺鱼之后，鱼影的气息已经相当强烈了！,在某处出现了鱼影！！
4,捕获到佣兵蟹之后，察觉到了鱼影的气息……,捕获到佣兵蟹之后，鱼影的气息更加强烈了……,捕获到佣兵蟹之后，鱼影的气息已经相当强烈了！,在某处出现了鱼影！！
5,捕获到一文字之后，察觉到了鱼影的气息……,捕获到一文字之后，鱼影的气息更加强烈了……,捕获到一文字之后，鱼影的气息已经相当强烈了！,在某处出现了鱼影！！
6,捕获到贵族鱼之后，察觉到了鱼影的气息……,捕获到贵族鱼之后，鱼影的气息更加强烈了……,捕获到贵族鱼之后，鱼影的气息已经相当强烈了！,在某处出现了鱼影！！
7,捕获到绍尔迪雅红宝石之后，察觉到了鱼影的气息……,捕获到绍尔迪雅红宝石之后，鱼影的气息更加强烈了……,捕获到绍尔迪雅红宝石之后，鱼影的气息已经相当强烈了！,在某处出现了鱼影！！
8,捕获到大树之鳞之后，察觉到了鱼影的气息……,捕获到大树之鳞之后，鱼影的气息更加强烈了……,捕获到大树之鳞之后，鱼影的气息已经相当强烈了！,在某处出现了鱼影！！
9,捕获到虎皮鲨之后，察觉到了鱼影的气息……,捕获到虎皮鲨之后，鱼影的气息更加强烈了……,捕获到虎皮鲨之后，鱼影的气息已经相当强烈了！,在某处出现了鱼影！！
10,捕获到乐园石斑鱼之后，察觉到了鱼影的气息……,捕获到乐园石斑鱼之后，鱼影的气息更加强烈了……,捕获到乐园石斑鱼之后，鱼影的气息已经相当强烈了！,在某处出现了鱼影！！
11,捕获到虹彩花之后，察觉到了鱼影的气息……,捕获到虹彩花之后，鱼影的气息更加强烈了……,捕获到虹彩花之后，鱼影的气息已经相当强烈了！,在某处出现了鱼影！！
12,捕获到金光盘丽鱼之后，察觉到了鱼影的气息……,捕获到金光盘丽鱼之后，鱼影的气息更加强烈了……,捕获到金光盘丽鱼之后，鱼影的气息已经相当强烈了！,在某处出现了鱼影！！
