key,8,9,10
#,NameJP,Name,Description
offset,8,0,4
int32,str,str,str
0,,,
1,,白沙恩·乌尔嘉失,54岁。硌狮族。出生于旧博兹雅王都博兹雅。<hex:02100103>博兹雅义军的领导者。<hex:02100103><hex:02100103>立志从加雷马帝国手中解放博兹雅管区，使其恢复国家主权。<hex:02100103><hex:02100103>从医学总院毕业后被帝国军征为军医，在获得诸多功勋之后，成为了帝国名誉市民。然而在一次远征镇压叛乱的途中，发生了博兹雅堡垒蒸发事件，他的妻儿因此而丧命。<hex:02100103>自那之后，他很快就和理念相同的同伴一起抛弃了帝国，逃离军队后参加了潜伏在地下的抵抗组织。<hex:02100103><hex:02100103>从军之际，他曾一度认为这样的人生也不错，但在事件发生后，他彻底转变了想法，对帝国的憎恨无人能及。<hex:02100103>但是，理智的白沙恩一直在极力抑制这种负面情感，他以史为鉴，深知让情感支配行动只会造成更多的悲剧。<hex:02100103><hex:02100103>重现了女王之刃（义军武器）、使女王的亲卫队重获新生的白沙恩为了将第四军团驱逐出博兹雅，终于拉开了反击的序幕。<hex:02100103>
2,,马尔夏克·亚佩拉,42岁。硌狮族。出生于博兹雅管区博兹雅堡垒。<hex:02100103>博兹雅义军的一员。<hex:02100103><hex:02100103>作为白沙恩的左膀右臂大显身手。<hex:02100103>父母和兄弟在博兹雅堡垒蒸发事件中丧生时，他还是一名帝国兵。事后，他离开军队加入了抵抗组织。<hex:02100103>他尊白沙恩为师，负责义军的资金物资筹措、人才培育等工作。特别是在对外联络方面，例如和多玛的飞燕、东阿尔迪纳德商会交涉的时候，他都表现出了应有的才能。由于性格温厚，他身为联络中间人广受信赖。<hex:02100103><hex:02100103>虽然憎恨帝国，但他作为行省市民长大，也对帝国抱有十分复杂的感情。因此，他的处事原则就是绝不将国家和人民混为一谈。从某种意义上来说，他也是一个老好人，说话时柔和的语调常常能令他人卸下心防。<hex:02100103>作为一名战士，周围人对他的评价也很高。毕竟他是得到了罗斯提克真传的绝枪战士。性格温厚、值得信赖，以保护他人为己任，这就是马尔夏克。<hex:02100103>
3,,泽文·斯瓦楠失,47岁。硌狮族。<hex:02100103>博兹雅义军的一员。新生女王之刃中的一人。<hex:02100103><hex:02100103>出生地不明。泽文被认为是博兹雅人，但没有一个人知道他的过去。他本人也不喜欢提及自己的过去，但从少量情报中可知他曾为了追求魔法的极致而辗转各地。南至萨维奈，东至远东之国，北至加雷马帝国首都……他的足迹可谓是遍布了全世界。<hex:02100103>他想要成为魔术师的契机就发生在他到访艾欧泽亚的时候。为了拯救身患不治之症的母亲，他和父亲两人动身前往了格里达尼亚。遗憾的是，治愈方法一无所获，母亲也在他们奔走时去世了。母亲的病因加雷马帝国侵占博兹雅而生，丧母之痛足以让他那幼小的心灵萌生对帝国的憎恨和复仇的欲望。<hex:02100103>在旅行途中，泽文见识到了各种魔法，他决定将那些知识都带回博兹雅，想通过自学魔法为解放博兹雅贡献出自己的力量。<hex:02100103>泽文将在各地习得的魔法融合成独特的魔法体系，但他从不把这些知识授予他人。因为这些魔法以破坏为主，如果使用者心术不正，很有可能酿成灾难。<hex:02100103>泽文在不知不觉中成为了一个独一无二的魔术师，士兵们对他敬畏有加，甚至把他当作军神一样崇拜。<hex:02100103>他并不害怕战死沙场。不如说他期盼着死亡。他曾在达尔马斯卡的大迷宫遇到过一个诡异的异国魔术师，那个魔术师预言了他的未来。虽然听不懂异国的语言，但他还是明白了其中的意思。待博兹雅燃起解放的狼烟之时，泽文的死期亦将到来。如今，南方博兹雅战线上战火正燃，他无需畏惧，只需要作为一把利剑，作为新生女王之刃战至死亡即可。因此，泽文并不害怕死亡。<hex:02100103>而那个预言，如今似乎即将成真……<hex:02100103>
4,,伊索尔德·科维,26岁。人族。出生于达尔马斯卡管区雷蒙德。<hex:02100103>博兹雅义军的一员。新生女王之刃中的一人。<hex:02100103><hex:02100103>纯正的博兹雅人。她的父母是逃到了达尔马斯卡的博兹雅难民，在达尔马斯卡沦为帝国行省之后，他们拒绝了帝国发布的博兹雅难民归国政策，移居到了雷蒙德。伊索尔德以行省市民的身份出生，也接受了帝国式的教育，但她却更加喜欢博兹雅的歌舞。博兹雅歌曲的最大特点就是极快的节奏和高昂的旋律。歌词以平民生活和大自然为基调，大部分都是有关恋爱的乐曲。在弦乐器和打击乐器的共同演奏之下，舞者要一边唱歌一边跳出激烈的舞步。伊索尔德从小就很憧憬他们，并希望自己有朝一日能够成为下一代舞者。博兹雅舞蹈的另一个特点就是把弓这种武器当作乐器来使用。舞者会用弓弦演奏出动人音色，或是用手指弹奏弓弦，像打击乐器一样制造节奏。这样做是为了向辗转博兹雅各地狩猎的祖先们致敬，因此所有的舞者都是用弓的好手。<hex:02100103>回到博兹雅并参加了抵抗组织的伊索尔德在转瞬之间就作为弓箭手而大有所为。<hex:02100103><hex:02100103>但是，她心中依旧充满了对平民生活和大自然深刻的理解和热爱。在她看来，博兹雅人民和帝国人民是一样的。“希望和平早日降临博兹雅和帝国”正是她的口头禅。<hex:02100103>
5,,斯塔尼克·亚柳波芙,36岁。硌狮族。出生于博兹雅管区博兹雅堡垒。<hex:02100103>博兹雅义军的一员。新生女王之刃中的一人。<hex:02100103><hex:02100103>斯塔尼克自幼便憧憬着英雄。<hex:02100103>许多博兹雅人虽然拥有行省市民的身份，但却过着非常贫困的生活。斯塔尼克的父母经营着杂货铺，每天起早贪黑只为了让一家三口能吃上饭。苦于贫困没钱上学的博兹雅人随处可见。斯塔尼克为了赚钱，从看孩子到擦鞋，什么都肯干，但他从未偷抢，双手始终干干净净。这是因为父母一直教育他即使穷困潦倒，也绝不能走上歪路。<hex:02100103>15岁时，斯塔尼克接受了帝国军队的征兵检查，成为了一名帝国兵。这并不是因为他想要成为英雄，而是因为自己从军可以给父母减少一些生活负担。<hex:02100103>尽管薪水微薄，他仍会给父母寄去生活费，虽然无法做到每次都寄，但这对他来说已经是足以让他挺起胸膛的“英雄行为”了。而父母的来信则是他们还活着的证明，也是斯塔尼克唯一的心灵慰藉。<hex:02100103><hex:02100103>博兹雅堡垒蒸发事件发生时，斯塔尼克正在远离博兹雅的地方执行任务。5天后，他收到了父母的信，而信上的日期是事件发生的前一天……<hex:02100103>
6,,布拉兹·亚泽缇娜,25岁。硌狮族。出生于多玛。<hex:02100103>博兹雅义军的一员。新生女王之刃中的一人。<hex:02100103><hex:02100103>网罗拳术、剑术、柔术、枪术等诸般武术传承的“翠青门”的直系武士。<hex:02100103>翠青门从不允许门徒参加抵抗组织。他们认为精进武术是对自己灵魂的磨练，绝非解决纷争的工具。但是每当博兹雅发生起义时，都会有一些无法抑制自己对帝国的不满和憎恨的门徒加入抵抗组织。翠青门只好将他们逐出师门以避免与帝国直接对立。<hex:02100103>布拉兹的父亲是翠青门嫡系成员中排行最小的孩子，但却打破门规，参加了起义。起义以失败告终，他只好离开博兹雅，逃往多玛。他在那里遇到了布拉兹的母亲，于是布拉兹便诞生了。布拉兹拜入了剑术名门，继承自父亲的才能也在此开花结果，年纪轻轻就达到了最高水平。在飞燕回归时，他为了报答多玛，参加了解放战争。成功解放多玛后，他也因为使命完成而遁入了空门，但在听说东方联盟和博兹雅要揭竿而起时，他还是决定回到故乡。<hex:02100103>恰逢此时翠青门更换门主，他们也转变了想法，决定要为博兹雅的复兴尽一份力。布拉兹不仅获准回到翠青门，还被门主邀请担任剑术老师，但他拒绝了这一请求，加入了抵抗组织。他发誓要继承亡父的遗志，让博兹雅获得独立并再度繁荣昌盛。<hex:02100103>
7,,韦利博尔·亚泽缇娜,24岁。硌狮族。出生于博兹雅管区泽缇纳庄。<hex:02100103>博兹雅义军的一员。新生女王之刃中的一人。<hex:02100103><hex:02100103>网罗拳术、剑术、柔术、枪术等诸般武术传承的“翠青门”的直系骑士。布拉兹的从堂兄弟。<hex:02100103><hex:02100103>翠青门有着二百多年的历史，是个以武艺著称的名门大派。在加雷马帝国入侵时，为了保护小国博兹雅，众多门徒参战牺牲。当时的第四军团军团长巴修·范·伽布拉斯是个惜才之人，他和翠青门约定，只要肯向帝国效忠就可以得到帝国的庇护。门主为表忠诚，献出了自己的首级，使一族避免了灭门之灾。<hex:02100103>代理家主是韦利博尔的祖母，她一直严格遵守着和伽布拉斯的约定。博兹雅被帝国占领后时有起义发生，也有部分门徒加入其中，而她为了不危及一族将他们逐出了族门。祖母将死之时，给新的家主——韦利博尔的父亲留下了最后的话语：“我自始至终都遵守着和伽布拉斯的约定。这是你父亲的愿望，也是他对我们的保护和深沉的爱。但是，你要坦诚地活下去，时代也该改变了……”<hex:02100103><hex:02100103>韦利博尔和回到翠青门的布拉兹一见如故，两人初见之时的情景他到现在依然记得。韦利博尔觉得他们二人不仅是志同道合的同门弟子，更是拥有相同灵魂的亲兄弟。虽然相处短暂，但他们通过切磋钻研掌握了新的战斗技巧。在博兹雅再度起义时，翠青门正式加入了抵抗组织。韦利博尔也将会一直挥舞手中的大剑，直至达成自己的使命。<hex:02100103>
