key,0,1,2,3,4
#,Name,Category,,Description,DutyType
offset,0,4,8,12,16
int32,str,str,str,str,str
0,,,,,
1,随机任务：练级迷宫,练级迷宫,,随机参加当前可以参加的迷宫或轻锐小队用讨伐战。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。<hex:02100103><hex:02100103>※随机任务中所获得的额外经验值与金币报酬由参加时的职业与等级决定，在任务过程中所获得的经验值与金币的差额会在最后作为报酬一并获取。<hex:02100103>※军票的报酬量由参加时的职业与等级决定。<hex:02100103>※随机任务的奖励一天只能获得一次。<hex:02100103>※组满规定人数参加时不会获得“少数职能奖励”。,对应任务：轻锐小队用迷宫、轻锐小队用讨伐战
2,随机任务：拾级迷宫,拾级迷宫,,随机参加已经开放的50级或60级或70级或80级或90级迷宫。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。<hex:02100103><hex:02100103>※随机任务中所获得的额外经验值与金币报酬由参加时的职业与等级决定，在任务过程中所获得的经验值与金币的差额会在最后作为报酬一并获取。<hex:02100103>※随机任务的奖励一天只能获得一次。<hex:02100103>※组满规定人数参加时不会获得“少数职能奖励”。,对应任务：轻锐小队用50级/60级/70级/80级/90级迷宫
3,随机任务：主线任务,主线任务,,随机参加已经开放的主线剧情任务。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。<hex:02100103><hex:02100103>※随机任务中无法跳过过场动画。<hex:02100103>※随机任务中所获得的额外经验值与金币报酬由参加时的职业与等级决定，在任务过程中所获得的经验值与金币的差额会在最后作为报酬一并获取。<hex:02100103>※随机任务的奖励一天只能获得一次。<hex:02100103>※组满规定人数参加时不会获得“少数职能奖励”。,对应任务：满编小队用迷宫
4,随机任务：行会令,行会令,,随机参加已经开放的行会令任务。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。<hex:02100103><hex:02100103>※随机任务中所获得的额外经验值与金币报酬由参加时的职业与等级决定，在任务过程中所获得的经验值与金币的差额会在最后作为报酬一并获取。<hex:02100103>※军票的报酬量由参加时的职业与等级决定。<hex:02100103>※随机任务的奖励一天只能获得一次。<hex:02100103>※组满规定人数参加时不会获得“少数职能奖励”。<hex:02100103>※以4人小队组队参加4人用行会令时可以无视职能要求自由组合。,对应任务：行会令
5,随机任务：顶级迷宫,顶级迷宫,,随机参加已经开放的顶级迷宫。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。<hex:02100103><hex:02100103>※随机任务中所获得的额外金币报酬由参加时的职业与等级决定，在任务过程中所获得的金币的差额会在最后作为报酬一并获取。<hex:02100103>※随机任务的奖励一天只能获得一次。<hex:02100103>※组满规定人数参加时不会获得“少数职能奖励”。,对应任务：轻锐小队用顶级迷宫
6,随机任务：讨伐歼灭战,讨伐歼灭战,,随机参加当前能够加入的满编小队用讨伐歼灭战。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。<hex:02100103><hex:02100103>※随机任务的奖励一天只能获得一次。<hex:02100103>※组满规定人数参加时不会获得“少数职能奖励”。,对应任务：满编小队用讨伐歼灭战
7,每日挑战：纷争前线,纷争前线,,通过每日挑战：纷争前线，将会参加当日开放的纷争前线战斗。纷争前线的战斗每日都会变更，可以在下方的信息中进行确认。<hex:02100103><hex:02100103>※每日挑战的奖励一天只能获得一次。,对应任务：昂萨哈凯尔（竞争战）
8,随机任务：满级迷宫,满级迷宫,,随机参加已经开放的100级迷宫。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。<hex:02100103><hex:02100103>※随机任务中所获得的额外金币报酬由参加时的职业与等级决定，在任务过程中所获得的金币的差额会在最后作为报酬一并获取。<hex:02100103>※随机任务的奖励一天只能获得一次。<hex:02100103>※组满规定人数参加时不会获得“少数职能奖励”。,对应任务：轻锐小队用100级迷宫
9,随机任务：指导者任务,指导者任务,,随机参加已经完成的指导者对应任务，仅限已成为战斗指导者的玩家使用。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。<hex:02100103><hex:02100103>※随机任务中所获得的额外金币报酬由参加时的职业与等级决定，在任务过程中所获得的金币的差额会在最后作为报酬一并获取。<hex:02100103>※随机任务的奖励一天只能获得一次。,对应任务：指导者对应任务
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,随机任务：团队任务,团队任务,,随机参加24人团队任务。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。<hex:02100103><hex:02100103>※随机任务中所获得的额外经验值与金币报酬由参加时的职业与等级决定，在任务过程中所获得的经验值与金币的差额会在最后作为报酬一并获取。<hex:02100103>※随机任务的奖励一天只能获得一次。,对应任务：大型任务
16,,,,,
17,随机任务：大型任务,大型任务,,随机参加当前可以参加的8人大型任务。成功完成任务后得到的报酬会大幅高于正常途径参加同样任务时的报酬。<hex:02100103><hex:02100103>※随机任务中所获得的额外经验值与金币报酬由参加时的职业与等级决定，在任务过程中所获得的经验值与金币的差额会在最后作为报酬一并获取。<hex:02100103>※随机任务的奖励一天只能获得一次。,大型任务
18,陆行鸟竞赛：荒野大道,荒野大道,,陆行鸟竞赛是参赛者们与专职奔跑的竞赛陆行鸟搭档一起争夺名次的竞技。<hex:02100103>你也朝着胜利开始竞赛吧！<hex:02100103><hex:02100103>※根据竞赛陆行鸟的羽力决定参赛的羽力级。<hex:02100103>※如果以小队形式申请参赛，将会以小队成员中羽力最低的竞赛陆行鸟来决定参赛的羽力级。<hex:02100103>※在参赛的羽力级决定后，能力超过该羽力级的竞赛陆行鸟，将会根据该羽力级进行能力的调整。<hex:02100103>※参加竞赛的玩家可以使用小队频道。,
19,陆行鸟竞赛：太阳海岸,太阳海岸,,陆行鸟竞赛是参赛者们与专职奔跑的竞赛陆行鸟搭档一起争夺名次的竞技。<hex:02100103>你也朝着胜利开始竞赛吧！<hex:02100103><hex:02100103>※根据竞赛陆行鸟的羽力决定参赛的羽力级。<hex:02100103>※如果以小队形式申请参赛，将会以小队成员中羽力最低的竞赛陆行鸟来决定参赛的羽力级。<hex:02100103>※在参赛的羽力级决定后，能力超过该羽力级的竞赛陆行鸟，将会根据该羽力级进行能力的调整。<hex:02100103>※参加竞赛的玩家可以使用小队频道。,
20,陆行鸟竞赛：恬静小路,恬静小路,,陆行鸟竞赛是参赛者们与专职奔跑的竞赛陆行鸟搭档一起争夺名次的竞技。<hex:02100103>你也朝着胜利开始竞赛吧！<hex:02100103><hex:02100103>※根据竞赛陆行鸟的羽力决定参赛的羽力级。<hex:02100103>※如果以小队形式申请参赛，将会以小队成员中羽力最低的竞赛陆行鸟来决定参赛的羽力级。<hex:02100103>※在参赛的羽力级决定后，能力超过该羽力级的竞赛陆行鸟，将会根据该羽力级进行能力的调整。<hex:02100103>※参加竞赛的玩家可以使用小队频道。,
