key,1
#,Format
offset,0
int32,str
0,<hex:021306FEFFCCCCCC03><hex:022903EA0303><hex:021302EC03>
1,<hex:021306FEFFCCCCCC03><hex:022903EA0303><hex:021302EC03>
2,<hex:021306FEFFFF7F7F03><hex:022903EA0303><hex:021302EC03>
3,<hex:021306FEFFB38CFF03><hex:022903EA0303><hex:021302EC03>
4,
5,
6,
7,
8,
9,
10,<hex:021303E90E03><hex:022903EA0203>：<hex:022903EA0303><hex:021302EC03>
11,<hex:021303E90F03><hex:022903EA0203>：<hex:022903EA0303><hex:021302EC03>
12,<hex:021303E91003>>><hex:022903EA0203>：<hex:022903EA0303><hex:021302EC03>
13,<hex:021303E91003><hex:022903EA0203> >> <hex:022903EA0303><hex:021302EC03>
14,<hex:021303E91103>(<hex:022903EA0203>) <hex:022903EA0303><hex:021302EC03>
15,<hex:021303E91203>(<hex:022903EA0203>) <hex:022903EA0303><hex:021302EC03>
16,<hex:021303E91303>[1]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
17,<hex:021303E91403>[2]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
18,<hex:021303E91503>[3]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
19,<hex:021303E91603>[4]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
20,<hex:021303E91703>[5]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
21,<hex:021303E91803>[6]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
22,<hex:021303E91903>[7]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
23,<hex:021303E91A03>[8]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
24,<hex:021303E91B03>[部队]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
25,
26,
27,<hex:021303E91E03>[新人]<hex:022903EA0203> : <hex:022903EA0303><hex:021302EC03>
28,<hex:021303E91F03><hex:022903EA0203><hex:022903EA0303><hex:021302EC03>
29,<hex:021303E92003><hex:022903EA0303><hex:021302EC03>
30,<hex:021303E92103><hex:022903EA0203>：<hex:022903EA0303><hex:021302EC03>
31,<hex:021303E91103>(<hex:022903EA0203>) <hex:022903EA0303><hex:021302EC03>
32,<hex:021303E91103>(<hex:022903EA0203>) <hex:022903EA0303><hex:021302EC03>
33,
34,
35,
36,<hex:021303E91C03>[对战]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
37,<hex:021303E92403>[跨服贝1]<<hex:022903EA0203>> <hex:022903EA0303><hex:021302EC03>
38,
39,
40,
41,<hex:021303E92503><hex:022903EA0303><hex:021302EC03>
