key,56,57,58,59,60,61,62,63
#,Text[0],Text[1],Text[2],Text[3],Text[4],Text[5],Text[6],Text[7]
offset,160,164,168,172,176,180,184,188
int32,str,str,str,str,str,str,str,str
0,,,,,,,,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,你能来给我们帮把手吗？<hex:02100103>再不快点把果实都收下来的话，就要被奥猴们抢走了！,要帮忙收果实吗？<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>※此危命任务的推荐等级为<hex:022003E80203>级。<hex:0249020103><hex:0248020103>,,,那就交给你了！,,好吧……那我再去问问别人。,
5,帮我把果实摘过来了吗？,,,,多谢！,,哎？还没吗？抓紧时间啊！,
6,快把果实收下来拿给我！,,,,,,,
7,这帮狡猾的偷猎者！<hex:02100103>他们打算将偷猎的货物藏起来蒙混过去！,我们不能让他们得逞，一定要把证据揪出来！<hex:02100103>冒险者，能借给我们你的力量么？,要去收集证据吗？<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>※此危命任务的推荐等级为<hex:022003E80203>级。<hex:0249020103><hex:0248020103>,,很好，拜托你了。,,嗯……那也没办法……<hex:02100103>我们就自行去收集证据了！,
8,你找到偷猎的证据了吗？,,,,干得漂亮！如果还能发现其他的也务必要交给我。,,好吧，一旦发现了请立刻交给我。,
9,去收集偷猎的证据给我！,,,,,,,
10,可恶的哥布林……<hex:02100103>我稍微大意了点……他们居然把商品全都给抢走了……,这位冒险者！<hex:02100103>你能帮我把商品从该死的哥布林那里抢回来吗？！,要去夺回商品吗？<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>※此危命任务的推荐等级为<hex:022003E80203>级。<hex:0249020103><hex:0248020103>,,一定要让他们长点记性！,,你居然……我记住你了！等着瞧！,
11,我的商品都没事吧？,,,,好像还缺了一些！<hex:02100103>一定要全都抢回来！,,真是的！不要光动嘴！也得动点手啊！,
12,要把我的商品从哥布林那里抢回来！,,,,,,,
13,你手上的那块石头碎片……<hex:02100103>能转让给我吗？,要给他吗？,,,嗯……是块不错的石头。<hex:02100103>如果你还看到了其他这种石头，也请交给我吧。,,好吧……真可惜。,
14,就是构成巨像兵身体的石头……<hex:02100103>是我现在最关注的研究。,要是你还能找到这类石头，<hex:02100103>也请带给我看看吧。,,,,,,
15,收集到这么多应该差不多够了。,,,,,,,
16,帮我收集了这么多，真是非常感谢。,,,,,,,
17,一、二、三……就这些？,,,,,,,
18,收到了很多好石头，真不错。,,,,,,,
19,那个……能问您点事吗？,我们一会要和教官进行模拟战考试……<hex:02100103>是以班为单位的……但是……,但是我们现在人数不够……<hex:02100103>正在找看有没有其他合适的人，<hex:02100103>您能来帮个忙吗？,要参与进去帮他们吗？<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>※此危命任务的推荐等级为<hex:022003E80203>级。<hex:0249020103><hex:0248020103>,,,唉……<hex:02100103>真希望下次别再以班级为单位行动了……,
20,我们的蜜蜂采蜜的花<hex:02100103>就快要被附近的蛞蝓给吃光了……,最近蛞蝓的数量越来越多，<hex:02100103>而且还都是群体行动，<hex:02100103>今天估计也快来了……,冒险者朋友，你能来帮帮我们吗？,帮着做点什么吗？<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>※此危命任务的推荐等级为<hex:022003E80203>级。<hex:0249020103><hex:0248020103>,真的吗？太好了！马上就来了，要小心啊！,,这么下去的话蜂蜜<hex:02100103>产量也会受到影响……,
21,打倒那些树生蛞蝓！,,,,,,,
