key,3,4,5
#,Text,,
offset,0,4,8
int32,str,str,str
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,……怎么了？<hex:02100103>想买勒昂琅的话，1枚孚布特金币可不够哦？,,
11,水晶公说了什么来着……,,
12,好黑啊……<hex:02100103>要不要从上面借点蜡烛过来？,,
13,…………<hex:02100103>干嘛一直盯着我看啊？<hex:02100103>这边的调查还需要点时间。,,
14,好痛……<hex:02100103>为、为什么要瞄准我啊……,,
15,即使被击中也纹丝不动，一直盯着这边看。<hex:02100103>看来至少不是矮人族……,,
16,哦哦，射对啦！<hex:02100103>为你的判断力和行动力鼓掌啦哩！,,
17,射错啦！<hex:02100103>我戴的可是真真正正的图尔头盔！<hex:02100103>错啦错啦！嗯……错啦！,,
18,嘎哈哈哈！哼哼！哼哼哼！<hex:02100103>不可以对我进行射击哦，看来你还差得远呢！,,
19,发现了疑似目标人物！,,
20,……稳重的气场。<hex:02100103>不过并不是猫秘族。,,
21,看起来很旧的壁画。<hex:02100103>身处中央的人物举着武器。<hex:02100103>黑色野兽被打倒，周围的人们看起来都很开心……,,
22,看起来非常旧的壁画。<hex:02100103>坐在王座上的人物正在接受很多人的谒见……,,
23,看起来相当旧的壁画。<hex:02100103>里面画有数名与涌动的黑暗对峙的人物，<hex:02100103>不过中央部分被刮掉许多……,,
24,那个是垂涎欲滴烙饼！<hex:02100103>里面加入了又酸又甜的仙人掌的果实，<hex:02100103>所以干一点也没关系！有助于健康！,,
25,那个是干劲熊熊火腿！<hex:02100103>是将蜥蜴的贵重部位利用秘传香料制成的火腿！<hex:02100103>虽然有点奇怪的味道，但是吃了它能让身体变得结实！,,
26,那个是黏黏小串！<hex:02100103>是将隐藏在附近石场中的小型青蛙简单烤制得到的！<hex:02100103>很爽口，不粘牙！,,
27,那个是软软腌白蚯蚓！<hex:02100103>是将大家都很喜欢的白蚯蚓蘸到蜜汁里的梦幻美食！<hex:02100103>吃完这个就吃不下其他甜食了！,,
28,发现了古旧的石板！,,
29,嗯……这个应该是祭坛，<hex:02100103>不过却没看到夜之民的代表性祭具水镜啊。<hex:02100103>是他们离开的时候只把那个带走了吧……,,
30,发现了疑似目标人物！<hex:02100103>但是往村落那边逃走了……,,
31,一直在盯着这边看。<hex:02100103>似乎不是神秘的人影……,,
32,啦哩吼！干得漂亮！<hex:02100103>保持这个状态，正式挑战的时候也要加油啊！,,
33,高耸着的细长建筑，上面有很多窗户。<hex:02100103>是不曾在其他地方见到过的独特设计。,,
34,……为什么会有鲸头鹳？<hex:02100103>完全不知道为什么，但就是堂而皇之地出现在那里。,,
35,冰海天使的幼体脸上一副柔弱的表情……<hex:02100103>肯定是个特别老实的生物。,,
36,咦？！不要趁乱瞄准我啊！<hex:02100103>兜帽我是不会摘下来的！,,
37,即使被击中也纹丝不动，<hex:02100103>一直、一直盯着这边看。<hex:02100103>看来并不是矮人族……,,
38,,,
39,哎呀？！<hex:02100103>你干嘛！<hex:02100103>请不要打扰我工作！,,
40,嗯……从这里看得不是很清楚，<hex:02100103>水箱上面连着金色的管子吧？,然后透过稍微靠下的窗户看过去……<hex:02100103>水箱的下部似乎也连接着巨大的管子。,也就是说，这是用来对采集的水<hex:02100103>进行过滤除杂的净水装置吧。
41,有一个巨大的筒矗立在墙的旁面……<hex:02100103>从声音来判断，墙的另一面是水源吧？,然后筒的顶端突出的那个轴，<hex:02100103>则通过传导装置与旋转的车轮状动力装置相连……,也就是说，这就是汲水装置！<hex:02100103>筒里应该有能够旋转的螺旋桨。
