key,30,31,32,33,34,35,36,37
#,Talk[0],Talk[1],Talk[2],Talk[3],Talk[4],Talk[5],Talk[6],Talk[7]
offset,60,64,68,72,76,80,84,88
int32,str,str,str,str,str,str,str,str
0,0,0,0,0,0,0,0,0
1,向您问好，冒险者。要接受行会理符任务吗？,很抱歉，我还不能提供行会理符任务给您这样初出茅庐的冒险者。,您所接任务意义重大，愿大地母神见证您的成功。,0,0,0,0,0
2,这里是行会理符受领处。<hex:02100103>一定可以为您找到一份合适的工作。,这里是行会理符受领处。<hex:02100103>冒险者行会的成员们都会到这里来领取行会理符任务。<hex:02100103><hex:02170103>如果您能在冒险者行会中得到<hex:02093EE802FF15>茶·莫克莉小姐<hex:FF10>贡特朗先生<hex:FF13>尤斯塔斯先生<hex:03>的许可，<hex:02100103>我就可以给您介绍任务了。,那么这个任务就拜托您了。,这里是行会理符受领处。<hex:02100103>冒险者行会的成员们都会到这里来领取行会理符任务。<hex:02100103><hex:02170103>如果您能在冒险者行会中得到<hex:02093EE802FF15>茶·莫克莉小姐<hex:FF10>贡特朗先生<hex:FF13>尤斯塔斯先生<hex:03>的许可，<hex:02100103>我就可以给您介绍任务了。,您平安完成任务了吗？<hex:02100103>看来把这个任务拜托给您是正确的选择。<hex:02100103>这是准备好的报酬，请收下吧。,0,0,您竟然讨伐了悬赏魔物？<hex:02100103>真是让人吃惊……<hex:02100103>当然，您可以获得追加的报酬。
3,这里发行的行会理符任务中，<hex:02100103>也有很多是来自附近居民的委托。<hex:02100103>如果您有兴趣，请帮帮他们吧。,您在找工作吗？<hex:02100103>不过我们只对有一定经验的冒险者发行行会理符任务。<hex:02100103>如果是<hex:020921E802FF0A>巴德龙<hex:FF07>缪恩<hex:FF0A>莫莫蒂<hex:03>老板介绍来的我们也可以放心了。,那么就拜托您了。<hex:02100103>希望看到您早日凯旋。,您在找工作吗？<hex:02100103>不过我们只对有一定经验的冒险者发行行会理符任务。<hex:02100103>等您的实力可以匹敌这附近的魔物后再来吧。,是来报告任务完成的吗？<hex:02100103>真是辛苦您了。这是给您的报酬。<hex:02100103>这样一来委托人应该也满足了吧。,0,0,哎呀，您竟然打倒了悬赏魔物啊？<hex:02100103>那请您收下追加的报酬。
4,你看上去头脑和身体素质都不错嘛。<hex:02100103>对行会理符任务有兴趣吗？<hex:02100103>我可以给你介绍些不错的工作。,我是冒险者行会的一员。<hex:02100103>主要负责为冒险者们发行实力相符的行会理符任务。<hex:02100103><hex:02170103>如果你能取得<hex:020921E802FF0A>巴德龙<hex:FF07>缪恩<hex:FF0A>莫莫蒂<hex:03>老板的认可的话，<hex:02100103>到时候我可以介绍一些好工作给你。,好好干吧，等你回来！,我是冒险者行会的一员。<hex:02100103>主要负责为冒险者们发行实力相符的行会理符任务。<hex:02100103><hex:02170103>如果你有能力收拾这附近的魔物时，<hex:02100103>到时候我可以介绍一些好工作给你。,已经回来了吗？你办事可真快。<hex:02100103>能够这么迅速地完成任务真是帮了我们大忙了。<hex:02100103>以后要是还有机会还要拜托你喽。,0,0,什么？你干掉了通缉中的悬赏魔物？<hex:02100103>真是做得太棒了。<hex:02100103>那就收下追加的报酬吧。
5,这里为冒险者们发行行会理符任务。<hex:02100103>任务内容基本是黑衣森林各地发来的委托工作。,这里是发行行会理符的窗口，会为冒险者介绍各种工作。<hex:02100103>你看上去是一个新人冒险者啊。<hex:02100103><hex:02170103>如果你有<hex:020921E802FF0A>巴德龙<hex:FF07>缪恩<hex:FF0A>莫莫蒂<hex:03>老板的介绍，<hex:02100103>那么我们会很乐意交给你一些工作的。,0,这里是发行行会理符的窗口，会为冒险者介绍各种工作。<hex:02100103>你看上去是一个新人冒险者啊。<hex:02100103><hex:02170103>如果你有<hex:020921E802FF0A>巴德龙<hex:FF07>缪恩<hex:FF0A>莫莫蒂<hex:03>老板的介绍，<hex:02100103>那么我们会很乐意交给你一些工作的。,你是来领取任务报酬的？<hex:02100103>竟然能完成这个任务……干得漂亮。<hex:02100103>这里是这次的报酬，请收下吧。,0,0,你竟然打倒了通缉中的悬赏魔物啊，<hex:02100103>真是太了不起了。<hex:02100103>当然，你获得的报酬也会有所追加。
6,这里为冒险者们发行行会理符，<hex:02100103>任务内容基本是利姆萨·罗敏萨市民及周围居民的一些委托。,你要是想找工作的话那就来对了。<hex:02100103>这里会为有实力的冒险者发行行会理符。<hex:02100103><hex:02170103>不过得有冒险者行会的负责人<hex:020921E802FF0A>巴德龙<hex:FF07>缪恩<hex:FF0A>莫莫蒂<hex:03>老板的介绍才行，<hex:02100103>这样就可以为你提供各种各样的工作了。,很好，祝你好运！,你要是想找工作的话那就来对了。<hex:02100103>这里会为有实力的冒险者发行行会理符。<hex:02100103><hex:02170103>不过你起码得有本事对付这附近的魔物才行。<hex:02100103>这样的话就可以为你提供各种各样的工作了。,你是来报告行会理符完成情况的吧？<hex:02100103>辛苦你了，请收下这份报酬。<hex:02100103>我想委托人也一定会很满意的。,0,0,是行会理符的完成报告啊……<hex:02100103>什么？你竟然讨伐了通缉中的悬赏魔物？<hex:02100103>好厉害啊，那报酬也会给你加成的。
