key,3,5,11,12,13
#,,,,,
offset,0,4,8,12,16
Int32,String,String,String,String,String
0,,,,,
1,体力腰带,,体力腰带,最大体力+20%,最大体力提高
2,替身戒指,,替身戒指,特殊效果：陷入无法战斗状态时，牺牲魔兽，玩家得以复活，魔兽尚未召唤时无法发动此效果,陷入无法战斗状态时牺牲魔兽得以复活
3,治愈戒指,,治愈戒指,特殊效果：战斗结束时恢复玩家25%的体力,战斗结束时恢复体力
4,药师腰包,,药师腰包,特殊效果：在帐篷休息时随机获得1个魔兽恢复药,在帐篷休息时获得魔兽恢复药
5,魔咒帽子,,魔咒帽子,受到魔法伤害-10%,受到魔法伤害减轻
6,钢铁铠甲,,钢铁铠甲,受到物理伤害-15%,受到物理伤害减轻
7,野生头冠,,野生头冠,造成物理伤害+10%<hex:02100103>暴击发动率+3%<hex:02100103>特殊效果：此斗兽装备的性能也会对召唤中的魔兽产生影响,造成物理伤害提高、暴击发动率、魔兽也受到影响
8,理性之杖,,理性之杖,造成魔法伤害+20%<hex:02100103>特殊效果：此斗兽装备的性能也会对召唤中的魔兽产生影响,造成魔法伤害提高、魔兽也受到影响
9,力量护臂,,力量护臂,造成物理伤害+12%<hex:02100103>回避率+3%,造成物理伤害提高、回避率提高
10,缠头带,,缠头带,造成物理伤害+5%<hex:02100103>受到物理伤害-5%,造成物理伤害提高、受到物理伤害减轻
11,绿色贝雷帽,,绿色贝雷帽,暴击攻击力+35<hex:02100103>造成伤害+3%<hex:02100103>最大体力+7%,暴击攻击力、伤害提高、最大体力提高
12,神秘鞋,,神秘鞋,回避率+8%<hex:02100103>移动速度+50%<hex:02100103>特殊效果：自身使用技能及奇弈道具的体力恢复效果提高15%,回避率提高、移动速度提高、恢复量提高
13,坚守戒指,,坚守戒指,受到伤害-10%<hex:02100103>最大体力+7%,受伤减轻、最大体力提高
14,寒冰盾,,寒冰盾,受到伤害-30%<hex:02100103>减速+10%<hex:02100103>特殊效果：30%几率使冰属性伤害无效并吸收,冰属性吸收、受伤减轻、减速
15,土地盾,,土地盾,特殊效果：30%几率使土属性伤害无效并吸收<hex:02100103>特殊效果：盾格挡时有10%的几率为自身附加“石肤”状态<hex:02100103>石肤效果：抵消相当于最大体力15%的伤害量<hex:02100103>石肤持续时间：60秒,土属性吸收、盾格挡时附加石肤状态
