key,0,2
#,,
offset,0,4
int32,str,str
0,,0
1000,,
1001,刻木宇宙数据I,0
1002,刻木宇宙数据II,0
1003,刻木宇宙数据III,0
1004,刻木宇宙数据IV,0
1005,锻铁宇宙数据I,0
1006,锻铁宇宙数据II,0
1007,锻铁宇宙数据III,0
1008,锻铁宇宙数据IV,0
1009,铸甲宇宙数据I,0
1010,铸甲宇宙数据II,0
1011,铸甲宇宙数据III,0
1012,铸甲宇宙数据IV,0
1013,雕金宇宙数据I,0
1014,雕金宇宙数据II,0
1015,雕金宇宙数据III,0
1016,雕金宇宙数据IV,0
1017,制革宇宙数据I,0
1018,制革宇宙数据II,0
1019,制革宇宙数据III,0
1020,制革宇宙数据IV,0
1021,裁衣宇宙数据I,0
1022,裁衣宇宙数据II,0
1023,裁衣宇宙数据III,0
1024,裁衣宇宙数据IV,0
1025,炼金宇宙数据I,0
1026,炼金宇宙数据II,0
1027,炼金宇宙数据III,0
1028,炼金宇宙数据IV,0
1029,烹调宇宙数据I,0
1030,烹调宇宙数据II,0
1031,烹调宇宙数据III,0
1032,烹调宇宙数据IV,0
1033,采矿宇宙数据I,0
1034,采矿宇宙数据II,0
1035,采矿宇宙数据III,0
1036,采矿宇宙数据IV,0
1037,园艺宇宙数据I,0
1038,园艺宇宙数据II,0
1039,园艺宇宙数据III,0
1040,园艺宇宙数据IV,0
1041,捕鱼宇宙数据I,0
1042,捕鱼宇宙数据II,0
1043,捕鱼宇宙数据III,0
1044,捕鱼宇宙数据IV,0
1045,刻木宇宙数据V,
1046,锻造宇宙数据V,
1047,铸甲宇宙数据V,
1048,雕金宇宙数据V,
1049,制革宇宙数据V,
1050,裁衣宇宙数据V,
1051,炼金宇宙数据V,
1052,烹饪宇宙数据V,
1053,采矿宇宙数据V,
1054,园艺宇宙数据V,
1055,捕鱼人宇宙数据V,
2000,,
2001,刻木初级N-1,0
2002,刻木初级N-2,0
2003,刻木初级N-3,0
2004,刻木初级N-4,0
2005,刻木初级N-5,0
2006,刻木初级N-6,0
2007,刻木初级N-7,0
2008,刻木初级N-8,0
2009,锻铁初级N-1,0
2010,锻铁初级N-2,0
2011,锻铁初级N-3,0
2012,锻铁初级N-4,0
2013,锻铁初级N-5,0
2014,锻铁初级N-6,0
2015,锻铁初级N-7,0
2016,锻铁初级N-8,0
2017,铸甲初级N-1,0
2018,铸甲初级N-2,0
2019,铸甲初级N-3,0
2020,铸甲初级N-4,0
2021,铸甲初级N-5,0
2022,铸甲初级N-6,0
2023,铸甲初级N-7,0
2024,铸甲初级N-8,0
2025,雕金初级N-1,0
2026,雕金初级N-2,0
2027,雕金初级N-3,0
2028,雕金初级N-4,0
2029,雕金初级N-5,0
2030,雕金初级N-6,0
2031,雕金初级N-7,0
