key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_REGDRA2NOTORIOUSMONSTERHINTT1_00267_YLOISE_000_000,你不要把我跟入室盗窃的寻宝猎人相提并论。<hex:02100103>别看我这样，怎么说也是堂堂怪物猎人。
1,TEXT_REGDRA2NOTORIOUSMONSTERHINTT1_00267_YLOISE_000_001,哎呀，没想到在田园郡会遇到兵团的人，<hex:02100103>真是令人开心。<hex:02100103>我可以告诉你有关恶名精英的情报哦！
2,TEXT_REGDRA2NOTORIOUSMONSTERHINTT1_00267_YLOISE_Q1_000_000,想了解什么？
3,TEXT_REGDRA2NOTORIOUSMONSTERHINTT1_00267_YLOISE_A1_000_001,关于B级怪物：大河之主——翼肢鲎
4,TEXT_REGDRA2NOTORIOUSMONSTERHINTT1_00267_YLOISE_A1_000_002,关于B级怪物：流浪无主——布拉巨猿
5,TEXT_REGDRA2NOTORIOUSMONSTERHINTT1_00267_YLOISE_A1_000_003,关于A级怪物：疯狂科学家——机工兵斯利普金克斯
6,TEXT_REGDRA2NOTORIOUSMONSTERHINTT1_00267_YLOISE_A1_000_004,关于A级怪物：贤人军师——斯特拉斯
7,TEXT_REGDRA2NOTORIOUSMONSTERHINTT1_00267_YLOISE_A1_000_005,关于S级怪物：天启使者——苍白骑士
8,TEXT_REGDRA2NOTORIOUSMONSTERHINTT1_00267_YLOISE_A1_000_006,取消
9,TEXT_REGDRA2NOTORIOUSMONSTERHINTT1_00267_YLOISE_000_010,对于龙堡内陆低地来说，沙利亚克河既是一个象征，<hex:02100103>也是给予人们甘泉的母亲河。
10,TEXT_REGDRA2NOTORIOUSMONSTERHINTT1_00267_YLOISE_000_011,而支配这条母亲河的，<hex:02100103>正是大型甲壳类生物“翼肢鲎”。
11,TEXT_REGDRA2NOTORIOUSMONSTERHINTT1_00267_YLOISE_000_012,那个大胃怪物只要是看到活动的东西，不管是什么，<hex:02100103>都会用它尾巴上的夹子瞬间将其切碎，然后吃得精光。<hex:02100103>所以一定要小心它尾巴的动作。
12,TEXT_REGDRA2NOTORIOUSMONSTERHINTT1_00267_YLOISE_000_020,最近频繁发生田园郡的居民被巨猿袭击的事件。
13,TEXT_REGDRA2NOTORIOUSMONSTERHINTT1_00267_YLOISE_000_021,但是，大脚巨猿本应栖息在谢尔达莱群岛这种温暖的密林才对。<hex:02100103>我调查了古代记录，终于明白了事情的真相。
14,TEXT_REGDRA2NOTORIOUSMONSTERHINTT1_00267_YLOISE_000_022,原来是曾经有萨雷安的博物学家，<hex:02100103>作为生态调查的一环将其关在温室中进行饲养。<hex:02100103>恐怕是在大撤退的时候释放出来的，真是麻烦。
15,TEXT_REGDRA2NOTORIOUSMONSTERHINTT1_00267_YLOISE_000_030,哥布林族的科学家组织“青蓝之手”正在这附近搞奇怪的研究，<hex:02100103>这事你知道吗？
16,TEXT_REGDRA2NOTORIOUSMONSTERHINTT1_00267_YLOISE_000_031,其中有一个正在通缉的家伙叫“斯利普金克斯”。<hex:02100103>他为了测试独自开发出的兵器性能，<hex:02100103>残杀无辜的市民，真是一个恶名昭彰的坏人。
17,TEXT_REGDRA2NOTORIOUSMONSTERHINTT1_00267_YLOISE_000_032,那家伙全身穿着暗藏机关的甲胄，<hex:02100103>可以使出超出常人的怪力。<hex:02100103>真是的，科学家还真是一群无可救药的家伙。
18,TEXT_REGDRA2NOTORIOUSMONSTERHINTT1_00267_YLOISE_000_040,说了你可别被吓到，发来讨伐斯特拉斯委托的，<hex:02100103>可是住在北洋的萨雷安占星术士。
19,TEXT_REGDRA2NOTORIOUSMONSTERHINTT1_00267_YLOISE_000_041,他好像是对猫头鹰施加了魔法，作为使魔驱使。<hex:02100103>但不知发生了什么偶然事件，那只猫头鹰获得了天才般的智慧，<hex:02100103>并在占星术方面为其主人出谋划策。
20,TEXT_REGDRA2NOTORIOUSMONSTERHINTT1_00267_YLOISE_000_042,可是，在15年前那场大撤退时，<hex:02100103>那只猫头鹰夺走了主人所持的禁书逃跑了。<hex:02100103>获得了禁忌知识的使魔不能放任不管，所以才有了这次委托。
21,TEXT_REGDRA2NOTORIOUSMONSTERHINTT1_00267_YLOISE_000_050,这也是一个来自北洋的萨雷安人的讨伐委托。<hex:02100103>据说根据研究的一首古代预言诗上所示，<hex:02100103>当世界末日来临之际，恐怖的骑士将会苏醒。
22,TEXT_REGDRA2NOTORIOUSMONSTERHINTT1_00267_YLOISE_000_051,这个委托人认为“末日”指的就是“第七灵灾”，<hex:02100103>也就是说，天启使者早就已经觉醒了。
23,TEXT_REGDRA2NOTORIOUSMONSTERHINTT1_00267_YLOISE_000_052,老实说，我觉得那些内容并不可信。<hex:02100103>但是，某个寻宝猎人说亲眼看到了……<hex:02100103>那首预言诗中记载的“无头的亡灵骑士”的身影。
24,TEXT_REGDRA2NOTORIOUSMONSTERHINTT1_00267_TALK_ACTOR,（未使用/预计删除）
