ソー,手锯
クロスペインハンマー,横头锤
レイジングハンマー,圆头锤
マレット,工艺锤
ラウンドナイフ,圆革刀
ニードル,缝针
アレンビック,蒸馏器
フライパン,煎锅
ピック,鹤嘴锄
ハチェット,手斧
フィッシングロッド,钓竿
クローハンマー,羊角锤
ファイル,锉刀
プライヤー,手钳
グラインディングホイール,砂轮机
アウル,平斩
スピニングホイール,纺车
モーター,研钵
クリナリーナイフ,厨刀
モール,碎石锤
ガーデンサイズ,园艺镰
ワークキャップ,工作帽
ワークシャツ,工作衫
ハーフグローブ,半指手套
ホーズ,骑兵裤
ワークブーツ,工作靴
トラッパーハット,狩猎帽
ジャケット,外套
キュロット,短裤
ブーツ,筒靴
イヤリング,耳坠
ネックレス,项链
ブレスレット,手镯
リング,戒指
ファルシオン,弯刃刀
クロー,爪
ラブリュス,双刃斧
ランス,骑枪
キャバルリーボウ,骑兵弓
ナイフ,匕首
グレートソード,巨剑
アークウィバス,火枪
ケーン,牧杖
ロッド,法杖
インデックス,魔导书
コーデックス,魔导典
トルクエタム,黄道仪
サムライブレード,武士刀
レイピア,刺剑
バヨネット,刺刀
チャクラム,圆月轮
ウィング,飞翼
ウォーサイズ,战镰
カイトシールド,鸢盾
ディフェンダーフェイスガード,御敌护面
ディフェンダーメイル,御敌战铠
ディフェンダーガントレット,御敌手铠
ディフェンダーホーズ,御敌骑兵裤
ディフェンダーソルレット,御敌锁甲靴
スレイヤーフェイスガード,制敌护面
スレイヤーメイル,制敌链甲
スレイヤーガントレット,制敌手铠
スレイヤーホーズ,制敌骑兵裤
スレイヤーソルレット,制敌锁甲靴
ストライカーハット,强袭礼帽
ストライカークローク,强袭斗篷
ストライカーグローブ,强袭手套
ストライカーホーズ,强袭骑兵裤
ストライカーサバトン,强袭铠靴
レンジャーハット,精准狩猎帽
レンジャークローク,精准斗篷
レンジャーグローブ,精准手套
レンジャーホーズ,精准骑兵裤
レンジャーサバトン,精准铠靴
スカウトハット,游击狩猎帽
スカウトクローク,游击斗篷
スカウトグローブ,游击手套
スカウトホーズ,游击骑兵裤
スカウトサバトン,游击铠靴
ヒーラーターバン,治愈包头巾
ヒーラーローブ,治愈长袍
ヒーラーグローブ,治愈手套
ヒーラーロングキルト,治愈长裙
ヒーラーサンダル,治愈凉鞋
キャスターターバン,咏咒包头巾
キャスターローブ,咏咒长袍
キャスターグローブ,咏咒手套
キャスターロングキルト,咏咒长裙
キャスターサンダル,咏咒凉鞋
ディフェンダーイヤリング,御敌耳坠
アタッカーイヤリング,强攻耳坠
レンジャーイヤリング,精准耳坠
ヒーラーイヤリング,治愈耳坠
キャスターイヤリング,咏咒耳坠
ディフェンダーネックレス,御敌项链
アタッカーネックレス,强攻项链
レンジャーネックレス,精准项链
ヒーラーネックレス,治愈项链
キャスターネックレス,咏咒项链
ディフェンダーブレスレット,御敌手镯
アタッカーブレスレット,强攻手镯
レンジャーブレスレット,精准手镯
ヒーラーブレスレット,治愈手镯
キャスターブレスレット,咏咒手镯
ディフェンダーリング,御敌指环
アタッカーリング,强攻指环
レンジャーリング,精准指环
ヒーラーリング,治愈指环
キャスターリング,咏咒指环
ディフェンダーサークレット,御敌头冠
ディフェンダーキュイラス,御敌胸甲
ディフェンダーブリーチ,御敌马裤
スレイヤーサークレット,制敌头冠
スレイヤーキュイラス,制敌胸甲
スレイヤーブリーチ,制敌马裤
ストライカーアイガード,强袭眼罩
ストライカーコースリット,强袭护甲
