key,0,1
#,,
offset,0,4
Int32,String,String
0,TEXT_HEAVNY804_02098_SEQ_00,丧灵钟的利迪尔隆娜想要向冒险者这个优秀的工匠介绍新的工作地点。
1,TEXT_HEAVNY804_02098_SEQ_01,从利迪尔隆娜那里听取了有关田园郡的收藏品业务。利迪尔隆娜交给了冒险者一封写给盖姆隆娜的介绍信。将<hex:022811FF0A>EventItem<hex:F61E8B7B0103>交给田园郡的盖姆隆娜。
2,TEXT_HEAVNY804_02098_SEQ_02,从盖姆隆娜那里听取了有关田园郡的罗薇娜商会交易的介绍。熟练掌握收藏品的工作，作为工匠磨练技艺。
3,TEXT_HEAVNY804_02098_SEQ_03,空
4,TEXT_HEAVNY804_02098_SEQ_04,空
5,TEXT_HEAVNY804_02098_SEQ_05,空
6,TEXT_HEAVNY804_02098_SEQ_06,空
7,TEXT_HEAVNY804_02098_SEQ_07,空
8,TEXT_HEAVNY804_02098_SEQ_08,空
9,TEXT_HEAVNY804_02098_SEQ_09,空
10,TEXT_HEAVNY804_02098_SEQ_10,空
11,TEXT_HEAVNY804_02098_SEQ_11,空
12,TEXT_HEAVNY804_02098_SEQ_12,空
13,TEXT_HEAVNY804_02098_SEQ_13,空
14,TEXT_HEAVNY804_02098_SEQ_14,空
15,TEXT_HEAVNY804_02098_SEQ_15,空
16,TEXT_HEAVNY804_02098_SEQ_16,空
17,TEXT_HEAVNY804_02098_SEQ_17,空
18,TEXT_HEAVNY804_02098_SEQ_18,空
19,TEXT_HEAVNY804_02098_SEQ_19,空
20,TEXT_HEAVNY804_02098_SEQ_20,空
21,TEXT_HEAVNY804_02098_SEQ_21,空
22,TEXT_HEAVNY804_02098_SEQ_22,空
23,TEXT_HEAVNY804_02098_SEQ_23,空
24,TEXT_HEAVNY804_02098_TODO_00,将<hex:022811FF0A>EventItem<hex:F61E8B7B0103>交给田园郡的盖姆隆娜
25,TEXT_HEAVNY804_02098_TODO_01,空
26,TEXT_HEAVNY804_02098_TODO_02,空
27,TEXT_HEAVNY804_02098_TODO_03,空
28,TEXT_HEAVNY804_02098_TODO_04,空
29,TEXT_HEAVNY804_02098_TODO_05,空
30,TEXT_HEAVNY804_02098_TODO_06,空
31,TEXT_HEAVNY804_02098_TODO_07,空
32,TEXT_HEAVNY804_02098_TODO_08,空
33,TEXT_HEAVNY804_02098_TODO_09,空
34,TEXT_HEAVNY804_02098_TODO_10,空
35,TEXT_HEAVNY804_02098_TODO_11,空
36,TEXT_HEAVNY804_02098_TODO_12,空
37,TEXT_HEAVNY804_02098_TODO_13,空
38,TEXT_HEAVNY804_02098_TODO_14,空
39,TEXT_HEAVNY804_02098_TODO_15,空
40,TEXT_HEAVNY804_02098_TODO_16,空
41,TEXT_HEAVNY804_02098_TODO_17,空
42,TEXT_HEAVNY804_02098_TODO_18,空
43,TEXT_HEAVNY804_02098_TODO_19,空
44,TEXT_HEAVNY804_02098_TODO_20,空
45,TEXT_HEAVNY804_02098_TODO_21,空
46,TEXT_HEAVNY804_02098_TODO_22,空
47,TEXT_HEAVNY804_02098_TODO_23,空
48,TEXT_HEAVNY804_02098_LYDIRLONA_000_000,对于您这种超一流的工匠来说，<hex:02100103>这条街也变得越来越小了吧……<hex:02100103>最近我是这么觉得的。
49,TEXT_HEAVNY804_02098_LYDIRLONA_000_001,冒险者阁下，您是不是想要向更高的目标奋进了呢？<hex:02100103>我们在龙堡内陆低地的田园郡新开张了一家店铺，<hex:02100103>我希望您可以到那里去看一看。
